"Latest: Wavelength (nm)","Latest: Absorbance"
380,-0.00382587831634
382,0.0268350990492
384,0.0496948628792
386,0.0772312769441
388,0.108007988367
390,0.0974295954259
392,0.115817135
394,0.128464999482
396,0.132475750401
398,0.146552990333
400,0.156465823814
402,0.163903175274
404,0.170273863784
406,0.176709683076
408,0.180152208544
410,0.188697320833
412,0.200405872997
414,0.202825946515
416,0.208088433473
418,0.225340831085
420,0.225492538205
422,0.238027806726
424,0.246705951416
426,0.249679887408
428,0.259713117376
430,0.264286214583
432,0.276719760734
434,0.282553370448
436,0.288235575543
438,0.297615034663
440,0.311254322849
442,0.319228174698
444,0.324025476313
446,0.334269834719
448,0.344028232251
450,0.347921702493
452,0.355582157566
454,0.357913850837
456,0.364887623967
458,0.366519159691
460,0.370535316987
462,0.371616300512
464,0.36986821306
466,0.37171217728
468,0.375511042872
470,0.377785306513
472,0.377670640228
474,0.37914935648
476,0.382294513549
478,0.384580951477
480,0.387331100957
482,0.387109370972
484,0.391544509701
486,0.393750398803
488,0.394525429156
490,0.395555223742
492,0.399856979826
494,0.398939894886
496,0.40085271516
498,0.401237548772
500,0.405123425552
502,0.407069530348
504,0.411437084352
506,0.409407303209
508,0.414066762539
510,0.415007690307
512,0.417701370282
514,0.419625525805
516,0.421197977168
518,0.423922291084
520,0.42741385897
522,0.42474673434
524,0.428634434156
526,0.432754162955
528,0.437596546187
530,0.433290062178
532,0.436381008696
534,0.437187148073
536,0.440162999032
538,0.441164976207
540,0.445543934708
542,0.446568128133
544,0.443677292704
546,0.445308951291
548,0.446021537362
550,0.450296406242
552,0.451423165736
554,0.452445047224
556,0.453142029345
558,0.452660967359
560,0.453043133335
562,0.456159916039
564,0.457143609878
566,0.458936615649
568,0.458223076963
570,0.460683870738
572,0.460932835288
574,0.460565937472
576,0.462322909575
578,0.465480820041
580,0.46144418403
582,0.466474075433
584,0.46911469194
586,0.469909781025
588,0.46963982951
590,0.469775582049
592,0.47041614994
594,0.471734845696
596,0.472424615611
598,0.472921104706
600,0.472214845847
602,0.472607465036
604,0.474833760246
606,0.475017352681
608,0.475736762282
610,0.475388218717
612,0.478277971492
614,0.475605491073
616,0.479471767984
618,0.476982409322
620,0.478475387462
622,0.478610683785
624,0.481491633651
626,0.482168633408
628,0.482926671586
630,0.482536926191
632,0.48436792447
634,0.484547824326
636,0.486445318194
638,0.484817360288
640,0.486654517001
642,0.488466234746
644,0.488089764947
646,0.491239731655
648,0.488632027333
650,0.49052052011
652,0.49194389232
654,0.491644188389
656,0.491613794565
658,0.493515993317
660,0.492152019075
662,0.494249052988
664,0.494755121299
666,0.495428690789
668,0.496837633067
670,0.496261416556
672,0.495833919056
674,0.49661186415
676,0.498824187765
678,0.497995235332
680,0.49951770975
682,0.500442656489
684,0.50051068799
686,0.502506614771
688,0.502304171075
690,0.502469097587
692,0.504693807332
694,0.50446665977
696,0.508133235251
698,0.512940415689
700,0.511156521892
702,0.510905987297
704,0.512223165314
706,0.5100660171
708,0.511484255859
710,0.514454211366
712,0.51447427763
714,0.516133456437
716,0.515564624624
718,0.515606228902
720,0.517315508928
722,0.51953310757
724,0.519422368938
726,0.51823163111
728,0.520536222189
730,0.520077056688
732,0.523362665762
734,0.522153963179
736,0.522997075438
738,0.52272569222
740,0.523246085308
742,0.522960694489
744,0.521317066058
746,0.528245952175
748,0.528940783484
750,0.539249992433
752,0.532519987303
754,0.527387574898
756,0.529152321476
758,0.529856165464
760,0.53103945787
762,0.533086526478
764,0.533371492332
766,0.535414839059
768,0.535578023136
770,0.536952246496
772,0.538250906068
774,0.540061450656
776,0.536186587995
778,0.548055077905
780,0.541391678529
782,0.539266869626
784,0.54015762951
786,0.538648106634
788,0.536761555768
790,0.537435692582
792,0.536921667452
794,0.542664925191
796,0.537441888468
798,0.540568842242
800,0.540420123599
802,0.540754749612
804,0.540489887843
806,0.541343186988
808,0.544532333148
810,0.54540948444
812,0.546488877653
814,0.547334013701
816,0.544656758216
818,0.542952269825
820,0.545271760914
822,0.545398501082
824,0.550128053704
826,0.547216892227
828,0.549221674693
830,0.551105213369
832,0.549010151953
834,0.548012556908
836,0.54881813432
838,0.549269949933
840,0.548389090706
842,0.547842377603
844,0.547255838432
846,0.547912216648
848,0.547642019345
850,0.545854047409
852,0.547068383869
854,0.545609044582
856,0.544519461045
858,0.542953130199
860,0.53918739982
862,0.540521989683
864,0.536713876283
866,0.534770248123
868,0.533756347933
870,0.531120642086
872,0.529012303938
874,0.528152594395
876,0.524663018511
878,0.520064735156
880,0.515570064202
882,0.520954253894
884,0.508300517567
886,0.510544203373
888,0.504443500028
890,0.501617973703
892,0.49512614022
894,0.4918764245
896,0.481986435472
898,0.478366640371
900,0.475867323837
902,0.470700443415
904,0.468679311571
906,0.463525434406
908,0.456002448242
910,0.459546978591
912,0.461511730146
914,0.457469536096
916,0.45629395005
918,0.455214240747
920,0.463179692174
922,0.456685199223
924,0.46808380278
926,0.469437264895
928,0.474676846562
930,0.47895406756
932,0.480266867168
934,0.484052492855
936,0.486497562489
938,0.491655227335
940,0.490943825862
942,0.496961817973
944,0.496659298718
946,0.50305516956
948,0.498882076318
950,0.502986288949
