"Latest: Wavelength (nm)","Latest: Absorbance"
380,0.333236642954
382,0.349505956238
384,0.198437480099
386,0.246103942938
388,0.18676452355
390,0.155060397216
392,0.157534594797
394,0.145044110823
396,0.128159305006
398,0.12504241384
400,0.112792181012
402,0.107584539661
404,0.0999014628098
406,0.0949621310677
408,0.0941564447242
410,0.0933543874109
412,0.101334148471
414,0.0983536411755
416,0.0938139959549
418,0.102831560293
420,0.0923744163797
422,0.090455789491
424,0.0856315617301
426,0.073875230174
428,0.0694457820378
430,0.0552467525729
432,0.0525204932864
434,0.0396819523508
436,0.0261497645928
438,0.0170626254275
440,0.0082150197529
442,-0.00304990859088
444,-0.0153646344841
446,-0.0246170975937
448,-0.0319903546258
450,-0.0433304172986
452,-0.0474366214637
454,-0.0575272696864
456,-0.0615077554698
458,-0.0668808282552
460,-0.0708775256438
462,-0.0737709003787
464,-0.077896320513
466,-0.0797578840899
468,-0.0820357114304
470,-0.0832743667404
472,-0.0858452165642
474,-0.0884805177185
476,-0.0866427940666
478,-0.0886046251416
480,-0.0889202341288
482,-0.0917366950157
484,-0.090924323257
486,-0.092265737827
488,-0.0921488728778
490,-0.0928804949942
492,-0.0923930126088
494,-0.0929517953896
496,-0.092131197159
498,-0.092011269314
500,-0.091473610661
502,-0.0911710410749
504,-0.0907393239174
506,-0.091575443237
508,-0.0888872216634
510,-0.0907582739514
512,-0.088509870854
514,-0.0881779806072
516,-0.087873264339
518,-0.086487294481
520,-0.085584870405
522,-0.0856244293702
524,-0.0850543201706
526,-0.084490364611
528,-0.0827924698828
530,-0.083345693655
532,-0.0828979967444
534,-0.0831507342009
536,-0.0811702747669
538,-0.0826297676673
540,-0.0811971680692
542,-0.0808722002982
544,-0.0818923267769
546,-0.0807695781025
548,-0.0808439158485
550,-0.0812711347567
552,-0.0812657081546
554,-0.0809837344651
556,-0.0798740273272
558,-0.0808477687583
560,-0.0809839851711
562,-0.0807495271352
564,-0.0806791259427
566,-0.0810516373757
568,-0.0816077162469
570,-0.0813520212063
572,-0.0817305469838
574,-0.0813349461348
576,-0.0818802993217
578,-0.0809074426542
580,-0.081645352326
582,-0.0807230615245
584,-0.0809742896832
586,-0.0799823263392
588,-0.0808230780042
590,-0.0800608275101
592,-0.0804204785393
594,-0.0804682246947
596,-0.0808765065003
598,-0.0799620443426
600,-0.0801604510362
602,-0.0801237050272
604,-0.0807894232519
606,-0.0815943930161
608,-0.0816064464446
610,-0.081573949248
612,-0.0811910588825
614,-0.0827519473675
616,-0.0821596249541
618,-0.0826272200669
620,-0.0821719313901
622,-0.0831953063124
624,-0.0822266123902
626,-0.0820432135437
628,-0.0807174357635
630,-0.0811180701721
632,-0.0795807327862
634,-0.0775616788671
636,-0.0763574418434
638,-0.0745814410503
640,-0.0728082011215
642,-0.0703328286605
644,-0.0688285801019
646,-0.0667342647787
648,-0.0663257562152
650,-0.0654096472168
652,-0.0658262403092
654,-0.0672901694679
656,-0.0679410326025
658,-0.0685173458417
660,-0.0684193969241
662,-0.0670484514535
664,-0.0654471074718
666,-0.0636502853409
668,-0.0626317503348
670,-0.0614237539322
672,-0.0602645520904
674,-0.0589887714632
676,-0.0576406408228
678,-0.0563246367166
680,-0.0544486125503
682,-0.0540290858098
684,-0.0553731233537
686,-0.0570566192405
688,-0.0573848923439
690,-0.0568110837162
692,-0.0571347220137
694,-0.059510788384
696,-0.062147513727
698,-0.0644120731814
700,-0.0662419454062
702,-0.0686186947735
704,-0.0717002717343
706,-0.0755780778556
708,-0.0794907725453
710,-0.0822991934495
712,-0.0841496576822
714,-0.0857172930011
716,-0.0883576302502
718,-0.0910212348195
720,-0.0929321986662
722,-0.0932626996523
724,-0.093502132578
726,-0.0942102892825
728,-0.0938579348779
730,-0.0938009380128
732,-0.0937890504957
734,-0.0956983498863
736,-0.0940948976882
738,-0.0953014086227
740,-0.0949897731784
742,-0.095324199203
744,-0.0965356216767
746,-0.094459222535
748,-0.0971166363358
750,-0.0939234964005
752,-0.095893778622
754,-0.0977101421031
756,-0.0973852860568
758,-0.0965245102902
760,-0.0958811236692
762,-0.0953769338743
764,-0.0964527532893
766,-0.0945353580503
768,-0.0933432862075
770,-0.0957614285848
772,-0.0946888230915
774,-0.0961963867154
776,-0.0952213307688
778,-0.0898415390329
780,-0.0947366972566
782,-0.0954636746539
784,-0.0921936984194
786,-0.0935853775819
788,-0.0942971774288
790,-0.0934725713666
792,-0.0943543936555
794,-0.0925418992752
796,-0.0947482144245
798,-0.0944621258359
800,-0.0934143082432
802,-0.0945107248016
804,-0.0938769069018
806,-0.0938811766929
808,-0.0946667888617
810,-0.0949822524428
812,-0.0957934109868
814,-0.0942992785654
816,-0.0950239875033
818,-0.0964411274656
820,-0.0951029200432
822,-0.0957700597069
824,-0.0942336984725
826,-0.0972418571118
828,-0.0946240725352
830,-0.0929014635062
832,-0.0943020011812
834,-0.09351919296
836,-0.0941616200015
838,-0.0921637701114
840,-0.0903833950944
842,-0.0923577701126
844,-0.0910797773514
846,-0.0897441880782
848,-0.091889192092
850,-0.0892790357776
852,-0.0899098252571
854,-0.088628583118
856,-0.0865428193835
858,-0.0893091140209
860,-0.0882669230203
862,-0.085207749375
864,-0.08599520203
866,-0.0849784409163
868,-0.083530804637
870,-0.0818900242688
872,-0.0827612653385
874,-0.0819222804099
876,-0.0806147420127
878,-0.0818010357168
880,-0.0829696223239
882,-0.0764718814052
884,-0.0817342053616
886,-0.0750067758608
888,-0.0784937736696
890,-0.0798727141235
892,-0.0800958679155
894,-0.0813324556383
896,-0.083380815893
898,-0.0842525243569
900,-0.0857164305184
902,-0.088284004316
904,-0.0909320153873
906,-0.0906699537341
908,-0.0931900379102
910,-0.093641272429
912,-0.0931230473131
914,-0.0948955026064
916,-0.095070975271
918,-0.0939740862553
920,-0.0900859793738
922,-0.0912003967679
924,-0.0842467622601
926,-0.0858099593675
928,-0.0801278143843
930,-0.0740694247755
932,-0.0720144285858
934,-0.0662045625618
936,-0.0617045093963
938,-0.0598490533879
940,-0.0601065647178
942,-0.0536517628127
944,-0.0528438188896
946,-0.0493354427822
948,-0.049954669396
950,-0.044793551948
