matchupNo,yellow,green,Y.Eaten,G.Eaten,Notes
277,B. thunbergii,B. amurensis,,,
278,B. canadensis,B. brachypoda,,,
279,B. dielsiana,B. quelpaertensis,,,
280,B. francisci-ferdinandi,B. virescens,,,
281,B. julenii,B. dielsiana,,,
282,B. poiretti,B. virgetorum,,,
283,B. julenii,B. thunbergii,,,
284,B. koreana,B. ottawensis,,,
285,M. bealii,B. amurensis,,,
286,B. aggregata,B. quelpaertensis,,,
287,M. bealii,B. ottawensis,,,
288,B. julenii,M. aquifolium,,,
289,B. thunbergii,B. vulgaris,,,
290,B. aggregata,B. thibetia,,,
291,B. thunbergii,B. brachypoda,,,
292,B. canadensis,B. vulgaris,,,
293,B. thunbergii,B. poiretti,,,
294,B. aggregata,B. brachypoda,,,
295,B. dielsiana,B. koreana,,,
296,B. thibetia,M. japonica,,,
297,B. brachypoda,B. ottawensis,,,
298,B. amurensis,B. asiatica,,,
299,M. bealii,B. dielsiana,,,
300,B. aggregata,B. dielsiana,,,
301,B. brachypoda,B. polyantha,,,
302,B. julenii,B. gilgiana,,,
303,B. koreana,B. poiretti,,,
304,B. asiatica,B. ottawensis,,,
305,B. lecomptei,B. polyantha,,,
306,B. thunbergii,B. ottawensis,,,
307,B. polyantha,B. vulgaris,,,
308,B. thunbergii,B. asiatica,,,
309,M. bealii,B. thibetia,,,
310,B. julenii,B. thibetia,,,
311,B. lecomptei,B. poiretti,,,
312,B. poiretti,M. japonica,,,
313,B. brachypoda,B. crataengia,,,
314,B. aggregata,B. gilgiana,,,
315,B. candidula,B. lecomptei,,,
316,M. aquifolium,B. gilgiana,,,
317,B. canadensis,B. koreana,,,
318,B. asiatica,B. crataengia,,,
319,B. aggregata,B. virescens,,,
320,B. amurensis,B. dielsiana,,,
321,B. koreana,M. japonica,,,
322,B. julenii,B. brachypoda,,,
323,M. aquifolium,M. japonica,,,
324,B. candidula,B. virgetorum,,,
325,B. brachypoda,B. francisci-ferdinandi,,,
326,B. asiatica,B. polyantha,,,
327,B. aggregata,B. virgetorum,,,
328,B. canadensis,M. aquifolium,,,
329,M. aquifolium,B. vulgaris,,,
330,M. bealii,B. koreana,,,
331,B. aggregata,B. koreana,,,
332,B. quelpaertensis,M. japonica,,,
333,B. canadensis,B. virescens,,,
334,B. dielsiana,B. ottawensis,,,
335,B. canadensis,B. polyantha,,,
336,B. candidula,B. quelpaertensis,,,
337,B. crataengia,B. virgetorum,,,
