Grid #,Accession #,Species Name,Type,Leaf #,Date,Mass (mg),Toughness (N),Thickness (mm),SLA,Chlorophyll Content,,,,,,,,,,,,,
13,806-84*A,Lonicera maackii,Invasive,4,716,181,0.47,0.092,,,,,,,,,,,,,,,
13,806-84*A,Lonicera maackii,Invasive,5,716,477,0.6,0.106,,,,,,,,,,,,,,,
2,856-84*A,Lonicera xylosteum,Invasive,1,715,144,0.52,0.136,,,,,,,,,,,,,,,
2,856-84*A,Lonicera xylosteum,Invasive,2,715,214,0.49,0.136,,,,,,,,,,,,,,,
2,856-84*A,Lonicera xylosteum,Invasive,3,715,231,0.56,0.234,,,,,,,,,,,,,,,
2,856-84*A,Lonicera xylosteum,Invasive,4,715,248,0.51,0.171,,,,,,,,,,,,,,,
2,856-84*A,Lonicera xylosteum,Invasive,5,715,368,0.57,0.157,,,,,,,,,,,,,,,
2,95-81*D,Lonicera nervosa,Non-invasive exotic,1,715,159,0.73,0.132,,,,,,,,,,,,,,,
2,95-81*D,Lonicera nervosa,Non-invasive exotic,2,715,160,0.55,0.14,,,,,,,,,,,,,,,
2,95-81*D,Lonicera nervosa,Non-invasive exotic,3,715,192,0.74,0.153,,,,,,,,,,,,,,,
2,95-81*D,Lonicera nervosa,Non-invasive exotic,4,715,271,0.84,0.146,,,,,,,,,,,,,,,
2,95-81*D,Lonicera nervosa,Non-invasive exotic,5,715,338,0.8,0.148,,,,,,,,,,,,,,,
