"","area","datafile.013_108_2015_B.raw.area","datafile.016_148_84_A.raw.area","datafile.017_173_83_A.raw.area","datafile.039_341_81_MASS.raw.area","datafile.043_355_92_B.raw.area","datafile.044_359_92_C.raw.area","datafile.045_360_92_G.raw.area","datafile.046_363_92_C.raw.area","datafile.048_370_92_A.raw.area","datafile.063_449_87_C.raw.area","datafile.066_488_94_C.raw.area","datafile.070_538_78_A.raw.area","datafile.082_701_89_B.raw.area","datafile.086_772_94_B.raw.area","datafile.087_787_82_MASS.raw.area","datafile.088_791_82_A.raw.area","datafile.095_906_87_A.raw.area","datafile.099_939_73_B.raw.area","datafile.100_950_83_A.raw.area","datafile.102_975_83_B.raw.area","datafile.103_978_83_A.raw.area","datafile.104_1040_90_C.raw.area","datafile.110_1449_77_A.raw.area","datafile.111_1453_77_MASS.raw.area","datafile.127_7178_C.raw.area","mz_round","rt_round"
"367",2247000,980200,1060000,910000,2014000,1116000,1480000,1036000,2019000,977100,1099000,1059000,1017000,2247000,2047000,1057000,1038000,1102000,1119000,1107000,1211000,1098000,1117000,1032000,1011000,1044000,141.959,0.46
"368",1683000,455900,349500,205400,274400,609700,418600,240200,319000,180700,1683000,231100,222100,220800,729600,280500,234900,665600,236000,619500,226800,496700,703300,204200,496800,663500,143.034,0.86
"369",529600,48540,41630,37780,319900,45320,49240,31430,332900,67970,64840,44130,45580,529600,438500,42440,36880,51620,49640,46140,38880,51950,43280,46220,58890,32760,144.982,0.23
"370",2663000,1652000,227100,238800,20340,308600,91800,163100,7305,929400,117900,668900,2658000,56070,24620,157300,148800,2663000,316700,328300,81090,219500,68840,306900,263100,44660,146.081,0.38
"371",625300000,327400,504300000,365900000,16790000,305400000,368600000,534600000,236300000,1.91e+08,449700000,26280000,107600000,555200000,456800,95840000,625300000,318700000,1077000,160100000,2891000,490800000,3960000,553200000,1088000,303400000,146.081,1.59
"372",4796000,133200,915500,287500,2355000,586000,1465000,70490,4325000,1405000,509300,1342000,2068000,3489000,1048000,3856000,99550,1743000,4796000,3499000,428900,644900,1172000,122700,3154000,201800,146.165,1.41
"373",616400,224100,242000,220100,258200,248900,252100,203200,616400,257300,218500,195500,195500,291600,191900,247900,222800,293600,246200,239200,250100,277100,220700,251700,278800,193900,146.938,0.24
"374",4869000,850700,241000,387200,425400,313900,859000,326200,785500,1575000,460700,184600,269100,202100,165900,193800,160300,421300,186600,4869000,575700,423600,759700,322800,304400,87380,147.044,4.04
"375",2792000,1373000,94840,276200,184500,271000,2279000,357700,672000,553600,376500,199500,360800,260600,203100,29960,93380,301400,386500,2792000,845000,540200,399600,321200,254100,782100,147.044,12.43
"376",11620000,11620000,399600,508100,176400,413600,3288000,623800,1084000,1891000,570700,230200,372200,255500,146900,29960,140400,942500,58620,2698000,963100,970000,622200,348600,622500,1888000,147.044,12.55
"377",5159000,5159000,464500,328000,327700,278200,1536000,170300,1389000,1350000,476100,243100,342300,278400,201400,8693,140600,694500,151000,2540000,1012000,812200,769100,353300,1117000,2016000,147.044,12.88
"378",14990000,14990000,1052000,501600,777600,369400,2346000,591800,1490000,2285000,581900,405300,469800,284600,208000,40510,167100,1176000,504600,3675000,2431000,1005000,1501000,357900,901300,3230000,147.044,13.65
"379",33210000,33210000,1405000,697300,944800,367800,2375000,974800,2052000,4131000,1015000,437800,562100,324100,363500,106400,159500,1968000,1172000,7201000,2652000,1475000,1672000,419200,865700,8018000,147.044,13.73
"380",17670000,17670000,1531000,547600,1185000,470300,3233000,729500,2928000,1644000,592100,573000,669300,347900,431800,106400,96210,1508000,847300,3435000,2462000,1605000,1671000,444200,1726000,1777000,147.044,13.87
"381",15730000,15730000,1105000,735000,2089000,519700,2364000,658200,3039000,1329000,529800,701600,1123000,387300,348300,14070,229000,1128000,97230,3164000,1409000,1066000,2717000,481200,1092000,4046000,147.044,14.04
"382",19860000,19860000,1350000,1326000,1459000,805200,3747000,1576000,2219000,1430000,822500,1881000,912800,567000,290800,95920,476800,1417000,397300,4451000,1783000,2227000,14480000,786300,1138000,3534000,147.044,15
"383",31860000,31860000,1428000,2707000,1504000,1660000,6233000,1841000,3176000,2686000,1419000,1983000,1590000,714000,334400,129000,566800,2623000,671100,7679000,1817000,2407000,14640000,995500,1426000,5387000,147.044,15.07
"384",12480000,5790000,1274000,1084000,1776000,517500,2374000,880200,3550000,740000,871000,1677000,710800,980200,316500,129000,523000,926800,261100,2068000,1527000,1501000,12480000,961700,2592000,1210000,147.044,15.17
"385",1162000,1134000,154400,489800,120100,192800,757500,149400,213600,270400,188500,111600,257700,130600,101500,7355,46400,413600,129700,1162000,200900,510500,200800,138400,159100,336400,147.044,17.83
"386",3735000,3735000,166800,217800,122300,337300,391000,153500,273000,252000,185300,118100,228200,132400,92150,34650,88140,182200,24430,615900,203000,265800,195200,148200,167700,238000,147.044,18
"387",2458000,2458000,162400,161600,134100,160300,441800,180000,265900,196200,105100,122600,198700,172800,106500,134900,111300,157200,258400,775800,146800,73500,158100,141000,174000,51900,147.044,18.9
"388",28660000,28660000,107300,169500,120800,167300,296100,134100,233200,204900,34020,16550,376800,163700,83560,133100,111800,158300,84940,266800,158900,232000,158500,156700,40740,47820,147.044,19.34
"389",46540000,46540000,125200,459700,47180,170900,1330000,144800,221800,280900,153500,105400,308600,170000,93040,188600,94440,158000,170300,431900,174100,670000,154100,149000,210900,190700,147.044,19.76
"390",24090000,24090000,133600,184500,118100,48760,357000,141200,269000,199400,176600,102900,120000,140200,1e+05,209700,86760,155300,120700,505200,169300,228400,144100,140100,168600,257700,147.044,20.12
"391",12290000,12290000,143700,259900,125500,183000,331400,134600,248200,333400,179800,105000,106900,142200,100700,150000,95480,160900,76590,135900,163500,177600,157100,149000,159300,482600,147.044,20.59
"392",3244000,3244000,129700,97870,104400,179100,328600,137200,237500,82140,161700,98400,180800,139000,120000,137800,86000,161600,50420,1292000,162100,337500,7402,145800,152800,339000,147.044,21.09
"393",961100,961100,129800,141500,94930,168100,326000,128700,211600,182400,208900,90090,103600,108300,81790,125800,77090,146100,121600,378200,154000,221300,124900,117400,550600,193200,147.044,23.83
"394",18560000,8533000,3580000,3588000,18560000,7740000,6392000,7400000,5965000,5343000,6124000,14220000,13160000,1986000,8227000,2112000,6395000,5393000,10130000,13290000,8255000,4064000,11690000,5243000,12300000,5521000,148.06,1.64
"395",17930000,4260000,5417000,1571000,17930000,11480000,10110000,6688000,8036000,9088000,9194000,3770000,3492000,4596000,11300000,5737000,5693000,6721000,9184000,11980000,7907000,6659000,13100000,7797000,2830000,7077000,148.06,1.68
"396",8850000,1998000,5015000,937700,7087000,2410000,6794000,4224000,1147000,1787000,1985000,6473000,7775000,799900,1589000,1489000,1273000,4393000,1829000,8850000,3152000,1564000,2095000,1637000,5042000,5362000,148.06,1.82
"397",1467000,1467000,261700,277700,219900,270200,267300,259000,243600,295400,273700,280000,274600,248300,317400,261600,266700,275800,269700,273500,284500,266600,262800,270400,277500,257200,149.023,0.43
"398",1420000,602600,1362000,614900,585200,568900,573800,562400,661000,1420000,1386000,604200,1386000,592600,922100,592800,567700,570600,1352000,567000,628000,575000,1364000,574000,590800,558700,149.023,0.75
"399",2192000,608100,575500,1411000,1493000,1370000,1360000,1363000,1583000,593800,577100,1456000,577800,1531000,2192000,1349000,1378000,1394000,578600,1371000,1577000,1382000,574800,1393000,1418000,1361000,149.023,1.09
"400",1622000,1513000,1585000,1461000,684500,1569000,1506000,1471000,1183000,1622000,1394000,1618000,1518000,527600,1609000,1165000,1515000,1458000,1513000,1543000,1478000,1604000,1407000,1410000,1482000,1524000,149.023,31.42
"401",1179000,442900,1076000,1004000,1137000,1051000,1026000,453500,428500,1029000,482600,1036000,1001000,1179000,1021000,1053000,414200,1023000,1007000,502500,563100,1160000,573000,1118000,1170000,975900,149.023,31.5
"402",1612000,1548000,1446000,1468000,1220000,1463000,1472000,1389000,1119000,1612000,1585000,1404000,1010000,1043000,1378000,1009000,1496000,1363000,1323000,1596000,1432000,1400000,1328000,1568000,1491000,1358000,149.023,38.68
"403",992700,992700,418500,412400,355100,397900,409900,377900,376700,460800,423000,586800,404100,373700,503700,403900,394200,401300,396000,401900,423400,382400,401900,402500,411200,379200,149.023,41.33
"404",1153000,1153000,373100,1017000,351200,989100,357300,359100,346800,558500,193700,783400,364200,570600,465100,381600,384400,376800,913000,372200,389500,364100,372500,382100,383700,378500,149.023,41.83
"405",2392000,300500,254200,323200,6285,306200,297600,255300,157800,275300,243300,241300,293000,19310,165600,318200,296500,261200,265700,285700,203100,268300,225100,346600,241900,2392000,149.06,34.94
"406",2139000,349600,226700,544200,146100,694100,960700,821500,155300,2139000,308600,294900,325100,414300,54340,157000,667800,534700,144000,693200,111800,398800,157500,280500,81480,1589000,150.055,2.48
"407",2658000,95570,255700,127000,130800,357500,615300,206100,78890,252800,201800,77270,188500,592700,22660,103900,152500,113500,48440,126600,70940,290900,135500,196700,60140,2658000,150.055,2.57
"408",1677000,27320,30560,37540,869000,29240,40820,28850,862800,29290,33890,26160,138800,1677000,756700,39110,29300,32530,36430,30730,27300,29650,26920,29700,30320,28860,150.128,0.35
"409",3860000,1360000,1288000,1401000,946100,1391000,1457000,1326000,972400,1270000,1362000,1349000,1409000,842300,988300,1380000,1486000,1353000,1530000,1550000,3860000,1377000,1280000,1453000,1464000,1489000,150.128,41.87
"410",2216000,1240000,1246000,1196000,926600,1542000,2216000,1817000,863500,1260000,1316000,1201000,1808000,872400,838100,1213000,1551000,1186000,1035000,1484000,1683000,1212000,1153000,1325000,1299000,1287000,150.128,42.63
"411",1667000,1369000,1371000,1197000,669600,1536000,518700,956600,770400,1417000,1262000,1217000,478100,811200,857800,1298000,1667000,1217000,1083000,1493000,1166000,1294000,1122000,1282000,1214000,1228000,150.128,43.13
"412",2646000,1569000,1657000,1512000,816400,1636000,2207000,1613000,904200,1577000,1563000,1422000,2646000,795800,1078000,1538000,1697000,1490000,1490000,1742000,1476000,1487000,1358000,1474000,1504000,1623000,150.128,43.29
"413",3233000,1511000,1832000,1511000,1120000,1680000,1655000,1130000,1002000,1400000,1492000,1493000,1649000,1015000,1099000,1493000,1539000,1443000,1843000,1654000,3233000,1400000,1476000,1438000,1585000,1681000,150.128,43.73
"414",4104000,1629000,2031000,1875000,1255000,1996000,4104000,2764000,1287000,1705000,1868000,1908000,1965000,1122000,1255000,1875000,2021000,1835000,2056000,2130000,2e+06,1848000,1621000,2006000,1984000,2011000,150.128,44.28
"415",4480000,1891000,2125000,1850000,1403000,2146000,2052000,1870000,1290000,1613000,1884000,2080000,4480000,1301000,1284000,2119000,2216000,1908000,2285000,2146000,2151000,1842000,1707000,2156000,1956000,2060000,150.128,44.61
"416",8547000,1756000,2391000,1940000,1511000,2170000,4653000,5833000,1454000,1859000,2110000,2023000,3775000,1343000,1353000,1900000,2161000,2137000,1994000,2112000,8547000,1940000,1960000,2098000,2139000,2206000,150.128,45.42
"417",2462000,1351000,2048000,1632000,1333000,2009000,2398000,2025000,1167000,1503000,1560000,1755000,2155000,1173000,1372000,1370000,1785000,1586000,1805000,1628000,2462000,1441000,1681000,1689000,1600000,1776000,150.128,45.85
"418",2001000,1611000,1449000,1347000,1256000,1665000,2001000,1622000,980900,1335000,876800,1709000,1916000,656900,1534000,1382000,1124000,943800,1318000,1479000,1441000,788800,1261000,956200,1285000,1625000,150.128,46.34
"419",3474000,1709000,1816000,1827000,1484000,1801000,2660000,2530000,1513000,1748000,1816000,1764000,2785000,1099000,1645000,1749000,1721000,1786000,1719000,1935000,3474000,1659000,1717000,1734000,1771000,1958000,150.128,46.75
"420",1487000,1064000,1329000,1371000,1487000,1305000,1166000,833700,1387000,1028000,1109000,1335000,1023000,1227000,1352000,1122000,1265000,1079000,1121000,1303000,1459000,940900,1316000,1252000,1107000,1377000,150.128,46.95
"421",3401000,1170000,1833000,1482000,1285000,1456000,3401000,1662000,1331000,1490000,1681000,1464000,845900,918800,1600000,1332000,1350000,1626000,1180000,1700000,1095000,1277000,1426000,1206000,1327000,1795000,150.128,48.04
"422",3300000,1185000,1945000,1746000,1647000,1765000,1823000,3300000,1634000,1475000,1519000,1733000,3052000,1288000,1623000,1224000,1354000,1375000,1013000,1785000,2122000,1215000,1888000,1442000,1107000,1918000,150.128,48.14
"423",3470000,2653000,3088000,2667000,2461000,2752000,3264000,3116000,2536000,2914000,3250000,2969000,3177000,1798000,2686000,2898000,2913000,3275000,2533000,2930000,3470000,1991000,3019000,2678000,2921000,3114000,150.128,49.07
"424",9231000,3590000,3525000,3548000,3574000,4117000,9231000,3746000,3240000,3349000,3428000,4044000,3697000,2437000,3236000,3515000,3560000,3335000,2815000,3681000,7607000,2977000,3920000,3375000,3034000,3630000,150.128,49.61
