"","area","datafile.013_108_2015_B.raw.area","datafile.016_148_84_A.raw.area","datafile.017_173_83_A.raw.area","datafile.039_341_81_MASS.raw.area","datafile.043_355_92_B.raw.area","datafile.044_359_92_C.raw.area","datafile.045_360_92_G.raw.area","datafile.046_363_92_C.raw.area","datafile.048_370_92_A.raw.area","datafile.063_449_87_C.raw.area","datafile.066_488_94_C.raw.area","datafile.070_538_78_A.raw.area","datafile.082_701_89_B.raw.area","datafile.086_772_94_B.raw.area","datafile.087_787_82_MASS.raw.area","datafile.088_791_82_A.raw.area","datafile.095_906_87_A.raw.area","datafile.099_939_73_B.raw.area","datafile.100_950_83_A.raw.area","datafile.102_975_83_B.raw.area","datafile.103_978_83_A.raw.area","datafile.104_1040_90_C.raw.area","datafile.110_1449_77_A.raw.area","datafile.111_1453_77_MASS.raw.area","datafile.127_7178_C.raw.area","mz_round","rt_round"
"1",7281000,5756000,65360,6052000,26740,31490,51170,24040,5237000,32660,5250000,5885000,18090,6457000,49320,31490,25080,6434000,30900,28000,4974000,26250,5036000,5614000,7281000,36400,73.532,1.36
"2",7904000,5758000,7411000,6070000,7904000,4642000,6578000,5458000,5238000,5767000,5243000,5893000,6540000,31230,4e+06,5447000,6842000,6430000,4044000,5823000,4980000,4175000,5031000,5610000,7336000,3509000,73.532,1.43
"3",37110000,29840000,35500000,31960000,37110000,22970000,32400000,26470000,24110000,30950000,23880000,28040000,30740000,168400,20880000,26670000,32740000,30510000,19230000,25730000,24260000,18230000,24350000,25070000,33270000,16810000,82.014,1.43
"4",35310000,29580000,35310000,299200,89980,50490,35210,26290000,24040000,375100,23340000,355300,484400,30960000,20820000,26410000,32590000,29960000,33020,391000,254000,18070000,27580,24950000,258000,41650,82.014,1.5
"5",6400000,5199000,6219000,5493000,6400000,4076000,5584000,4625000,4078000,5349000,4099000,4772000,5324000,5345000,3399000,4526000,5661000,5345000,3159000,4391000,4197000,3155000,4177000,4300000,5773000,2908000,84.011,1.44
"6",34660000,1976000,6324000,3768000,3292000,1760000,4672000,3928000,10580000,3301000,4262000,5481000,4097000,4209000,34660000,14600000,3067000,5228000,24940000,4674000,4953000,4207000,8575000,2625000,7424000,3671000,84.96,1.44
"7",1134000,91760,286600,883000,154600,56590,1044000,699100,670000,1134000,14450,148900,96540,117600,249400,151700,88020,287000,105600,269000,459000,56850,761300,112300,361300,22960,85.028,19.21
"8",1484000,8598,1184000,2091,419700,317700,1457,603400,618800,330400,555200,1484000,875100,504900,572100,288600,1052000,485200,303300,298700,630700,11050,2638,450700,289300,41200,88.988,0.7
"9",1538000,796800,390500,735200,404000,734300,252900,1523000,261300,271300,421600,442800,457000,461700,212400,656800,336200,402700,224000,721800,975800,255200,1444000,1061000,725000,1538000,88.988,1.21
"10",582600,259500,387400,3390,316900,4338,839.3,502200,272400,271100,2357,511800,15200,4762,175000,214800,358700,8230,223300,788.3,582600,258300,6525,356400,5562,520900,88.989,0.48
"11",1373000,1148,2501,1573,1069000,8484,6593,620500,361000,20330,1373000,2815,622500,515800,1185,12860,441400,1213000,487300,304400,629900,540900,618400,450800,304300,620500,88.989,0.91
"12",2357000,715600,835400,673900,1695000,683000,785400,706800,1747000,781800,964400,751300,831000,2357000,1883000,748500,777600,934700,745900,760300,670500,860100,716200,763700,773400,707800,89.507,0.24
"13",1803000,796000,984100,761200,1695000,317400,911200,970400,1644000,769400,1041000,989700,997900,1803000,1339000,882500,237700,1024000,915500,454300,1127000,998700,1059000,932400,848700,1027000,89.507,0.43
"14",1078000,467800,561500,435300,249200,633800,512700,541800,1024000,437800,555800,567700,559500,1078000,856400,499600,706200,588800,524000,572200,608600,573000,580400,539500,492200,570600,89.507,0.48
"15",891900,410000,501800,397900,837800,488400,469300,497500,891900,391100,555100,510900,540200,880500,708100,460900,462100,546200,473400,568100,569500,5e+05,534200,478600,429300,540000,89.507,0.69
"16",780900,268200,276100,228600,627300,244300,220000,353500,416600,111100,337800,270000,321400,390100,597200,166900,285900,253300,285100,241200,502600,232300,374100,780900,248600,324900,89.507,28.08
"17",2078000,325100,407300,246300,2078000,266400,263500,364300,412700,228000,361800,354700,332600,478500,619800,316500,386300,363500,169100,283000,610300,262700,380300,1455000,269600,379000,89.507,29.68
"18",1130000,259800,248200,214200,847600,220000,265100,231900,808600,260300,324900,251500,246200,1019000,1130000,245300,275500,304700,232600,230500,220400,272100,230100,251200,273300,201100,90.507,0.24
"19",4911000,1061000,1249000,1098000,1169000,1105000,1041000,1213000,1143000,828700,1175000,1140000,1289000,1298000,4911000,1363000,1361000,1107000,1229000,1014000,1187000,1028000,1116000,1260000,937800,1238000,90.507,36.64
"20",3793000,1187000,1370000,1174000,1262000,1063000,1214000,1232000,1223000,1051000,1374000,1217000,1528000,1279000,3793000,1401000,1489000,1310000,1282000,1254000,1395000,1085000,1349000,1411000,1142000,1498000,90.507,40.28
"21",3209000,1080000,1342000,1015000,1153000,1110000,1173000,1282000,1085000,960100,1307000,1222000,1422000,1070000,3209000,1174000,1361000,1222000,1123000,1130000,1246000,1028000,1194000,1262000,960800,1368000,90.507,41.11
"22",687100,327400,589000,343700,1374,7508,473100,11000,687100,5373,597100,579300,16150,455100,633900,451600,507000,595800,424600,1602,14750,411800,597000,533700,342400,2247,91.004,0.56
"23",861500,370100,34700,405400,692900,495200,526800,10100,861500,357800,647400,668800,676200,586900,790800,502200,581800,675300,476100,512200,613200,18890,674900,601700,391800,665400,91.004,0.94
"24",848700,369500,3238,390600,25190,496800,545500,685000,848700,357600,46030,643700,687000,38860,783100,510300,590200,2435,30810,11810,631200,2335,686700,621400,401000,3149,91.004,1.1
"25",1276000,373800,624300,375600,734300,486000,36000,17600,860800,343400,634100,646400,665700,635200,791300,490000,567900,655700,1276000,518600,591400,473800,44880,605500,397700,659900,91.004,1.32
"26",728800,322700,563800,304100,633400,425500,429200,568500,728800,273400,584700,44230,584100,582200,660200,363000,503900,10950,79090,417500,518000,377500,555000,548000,332700,592000,91.004,1.34
"27",6702000,6702000,409700,1220000,560000,310700,471800,469200,277200,655100,617800,336600,352100,608900,367700,399000,355300,478100,687400,458900,66350,1178000,373300,332300,68640,176600,95.049,2.41
"28",2040000,751700,198200,72600,79420,282900,319500,159800,327600,2040000,139800,143700,312700,56670,66010,866700,251700,802900,59820,279600,186500,279100,493400,280300,39450,161700,95.086,28.24
"29",4863000,707400,916300,787100,2312000,1149000,3878,613100,4863000,515600,950500,877600,570200,1660000,303100,1109000,31160,773900,749400,4510,553100,805600,710900,21590,22100,792200,96.96,0.51
"30",3648000,1900000,2444000,2231000,961600,3064000,2355000,1655000,95150,1472000,2551000,2499000,1539000,679600,833400,3265000,3648000,936500,2086000,3312000,1471000,2172000,843000,2417000,2552000,952500,96.96,0.95
"31",2156000,783400,994100,919900,939900,1245000,959400,662900,1990000,598800,1014000,1043000,618100,677600,340800,1283000,1512000,2092000,841900,1361000,605700,878400,1898000,999300,1058000,2156000,96.96,1
"32",336500,31470,59510,40590,59330,59780,48480,38360,123200,40720,60060,54970,28580,35420,20140,336500,75240,44020,43550,92250,35720,71350,40100,53080,44450,49190,96.96,1.35
"33",3745000,382600,534700,665400,565300,964600,686600,657500,1383000,301200,782800,696000,606800,398400,254300,3745000,1143000,682500,715900,881700,535000,806100,619200,920100,688800,552800,96.96,9.71
"34",2925000,273100,448500,509900,534500,714300,464000,442500,2925000,586300,540600,577100,414300,340200,146300,688000,865400,520100,439500,706800,1354000,556000,573200,620800,642000,517100,96.96,15.67
"35",14680000,2731000,14680000,577300,1939000,699900,1875000,1370000,2011000,1470000,1136000,1085000,1056000,170500,446400,3304000,775600,691300,13250000,1044000,9324000,2004000,1025000,1047000,2489000,4775000,96.969,2.09
"36",1565000,1250000,998800,946700,547500,987400,1021000,843000,1565000,1368000,1453000,1235000,1135000,658700,601700,974700,1040000,1309000,1012000,992500,1070000,1126000,1046000,1106000,1281000,818900,97.969,0.24
"37",34580000,6351000,4612000,6472000,10800000,1424000,4128000,6115000,7577000,1778000,2551000,2276000,1538000,689400,458100,2319000,3125000,3300000,4931000,3519000,34580000,6157000,2873000,3327000,19290000,7382000,98.984,1.89
"38",30210000,9830000,10440000,4618000,12660000,2691000,9008000,8209000,9763000,3260000,4083000,2553000,2177000,1737000,809700,6609000,4690000,4366000,7961000,4919000,30210000,10330000,3318000,5383000,14690000,10320000,98.984,2.05
"39",20900000,7514000,10590000,988700,7932000,4100000,3776000,6421000,6308000,2783000,3485000,1756000,1820000,1315000,685800,7022000,3600000,3399000,7068000,3761000,20900000,8685000,2433000,4535000,5245000,8599000,98.984,2.14
"40",17120000,5928000,9538000,1483000,6361000,787200,1609000,5453000,5127000,2356000,2832000,1431000,1490000,980100,589500,6386000,3014000,2696000,6359000,3125000,17120000,7303000,2027000,3767000,4176000,7088000,98.984,2.22
"41",10700000,3294000,6553000,1162000,3860000,941100,2916000,3235000,3039000,1444000,1754000,911900,990600,552300,455000,4567000,1829000,1641000,4625000,1762000,10700000,4360000,1146000,2360000,1297000,4760000,98.984,2.44
"42",6171000,2434000,4437000,924000,2280000,164800,1708000,1911000,1841000,860900,1030000,547900,627500,336800,352600,2967000,1150000,937300,3198000,1026000,6171000,2648000,665900,908300,1130000,2898000,98.984,2.72
"43",4124000,1747000,3047000,659400,1580000,289000,181400,1355000,1226000,606800,706200,397900,449600,251600,271500,2228000,765100,640400,2467000,7e+05,4124000,1841000,485800,998000,1339000,2099000,98.984,2.95
"44",3181000,1211000,2449000,497600,1173000,409500,845400,1034000,923000,443400,543800,304700,356800,195800,227300,1676000,593200,484500,1997000,528500,3181000,1387000,379000,779000,528900,1638000,98.984,3.09
"45",39520000,111900,30890000,9202000,1206000,19800000,8853000,32760000,3498000,13250000,28770000,1695000,6689000,35270000,10450,6313000,39520000,6869000,109000,3884000,134700,3.2e+07,340800,12910000,110800,6351000,100.076,1.65
"46",124200,101600,36000,110300,82800,20760,38630,101500,71520,11430,48550,98220,72280,91950,124200,96090,53360,34820,10730,26190,12390,11590,37570,25530,15580,66410,100.933,0.24
"47",1232000,451800,811100,863300,3698,453300,682300,773800,1232000,636300,784200,771000,750700,515700,1109000,365300,693300,792500,481500,738900,312200,498900,837700,706500,814700,736500,100.933,34.92
"48",468700,197400,242500,242700,25640,468700,252800,391500,28850,228000,223700,446400,463200,18760,16390,206700,244400,215100,211900,237900,212100,203300,245100,379600,193000,253500,103.003,48.91
"49",508900,210800,298200,254800,30860,5e+05,322000,508900,37290,266200,264400,435600,455900,55950,18580,224800,288700,266200,153300,287600,243000,235800,293800,383200,208800,294300,103.003,49.52
"50",597800,283400,385900,341500,35640,567800,381600,552900,43270,363700,376200,597800,560000,35400,19990,319100,391900,351400,272200,357500,320400,369700,355800,491800,305200,350800,103.003,50.16
"51",261600,190500,203900,200300,16740,75620,212800,186200,22210,201300,207200,64650,81190,22680,9257,219700,261600,213900,212300,226100,159100,250500,184100,67820,189800,179000,103.003,54.79
"52",46990000,46990000,17620000,9233000,146900,16610000,3399000,5483000,385700,13110000,5069000,9646000,1276000,5897000,36240000,29580000,11500000,12010000,34410000,23430000,505000,4962000,18520000,29330000,5159000,5087000,104.107,1.63
"53",10610000,10080000,3100000,1043000,75040,3012000,809500,1166000,128400,2300000,1053000,1038000,495000,4452000,2550000,6279000,1120000,1306000,10610000,3575000,298100,749400,2726000,6556000,382800,2180000,104.107,1.92
"54",3149000,24030,115100,25860,51180,28740,2040,65870,319700,3309,113300,57000,129600,100200,3149000,51540,93580,109700,48790,21330,90020,1520,142900,38360,22620,72140,105.036,1.18
"55",22990000,254900,8460000,3302000,169000,2013000,716800,780100,828800,96710,22990000,369400,205500,48360,166700,2070000,422200,595500,368600,197200,144400,151500,786900,342600,179400,719200,105.07,2.65
"56",58260000,661700,36520000,6137000,225500,5657000,2152000,1608000,3394000,1116000,58260000,671300,436400,1960000,285300,761200,728300,1697000,907900,1770000,272700,868500,2126000,706200,194500,2286000,105.07,4.11
"57",64280000,882200,5618000,8354000,281400,6901000,3107000,2287000,1999000,1684000,64280000,944800,565400,2709000,397400,167600,1050000,2406000,889400,2763000,392300,1284000,2254000,960200,345400,2272000,105.07,4.36
"58",2138000,432100,421400,132400,1379000,125100,124100,115700,1029000,116400,429000,117000,432600,2138000,664500,134800,120500,120300,433600,449700,119700,123000,431800,129600,122900,426400,108.081,0.36
"59",2874000,1109000,1197000,1148000,731700,997500,1183000,1021000,756800,1079000,1187000,986100,1159000,661800,772100,1268000,1239000,1074000,1306000,1276000,1169000,1082000,1075000,2874000,1197000,1174000,108.081,39.09
"60",2889000,1251000,1282000,1291000,830900,1079000,1330000,1114000,799100,1693000,1203000,2889000,1273000,739000,816400,1312000,1401000,1213000,1297000,1390000,1236000,1113000,1141000,1343000,1275000,1313000,108.081,40.03
"61",3516000,1354000,1442000,2988000,878300,1318000,1474000,1310000,891600,1323000,1447000,2016000,1382000,864600,864700,1457000,1511000,1338000,1503000,1563000,1383000,1327000,1208000,3516000,1437000,1443000,108.081,40.7
"62",5040000,1428000,1420000,1436000,932100,1399000,5040000,1268000,913200,2610000,1424000,1363000,1479000,888100,892600,1468000,1568000,1326000,1425000,1655000,1353000,1349000,1253000,1373000,1423000,1484000,108.081,41.11
"63",4851000,1595000,1604000,4683000,1109000,1700000,3149000,1639000,1079000,3055000,1606000,4533000,1688000,955900,1038000,1727000,1809000,2626000,1758000,1874000,1630000,1544000,1441000,4851000,1733000,1714000,108.081,41.87
"64",1717000,1517000,1639000,1556000,1092000,1717000,1580000,1436000,923200,1233000,1390000,1447000,1624000,997200,909100,1603000,1715000,844000,1625000,1698000,1496000,1427000,1121000,1606000,1573000,1654000,108.081,42.44
"65",2644000,1551000,1689000,2644000,1006000,1787000,1764000,1467000,943500,2193000,1653000,2026000,1703000,997100,950600,1605000,1820000,2039000,1395000,1882000,1589000,1454000,1409000,2260000,1631000,1712000,108.081,42.58
"66",3318000,1500000,1463000,636900,923900,2933000,3318000,636100,636700,1491000,792000,1285000,1734000,980500,765700,1356000,1826000,1242000,474800,1653000,598800,1271000,1175000,1256000,687700,1296000,108.081,42.94
"67",3759000,1857000,2128000,3681000,929300,3759000,3119000,1674000,1224000,2524000,1835000,2387000,2077000,924400,1134000,1972000,2063000,2550000,1969000,2125000,1838000,1715000,1675000,2518000,1843000,1982000,108.081,43.35
"68",2310000,1743000,2193000,1814000,1300000,2069000,1630000,1765000,1092000,1683000,1702000,1475000,1945000,1193000,1109000,1701000,1921000,1522000,2310000,1979000,2052000,1610000,1740000,1729000,1974000,2160000,108.081,43.82
"69",2768000,1889000,2351000,1974000,1346000,1961000,2319000,2018000,1311000,2768000,2044000,2195000,2149000,1079000,1257000,1753000,2071000,1469000,2249000,2297000,2168000,1943000,1966000,1966000,2168000,2351000,108.081,44.01
"70",3547000,1940000,2418000,3485000,1536000,2424000,3547000,2154000,1509000,1704000,2265000,1922000,2422000,1255000,1352000,2215000,2364000,2092000,2385000,2557000,2425000,2049000,1984000,3517000,2424000,2485000,108.081,44.27
"71",4162000,2094000,2654000,2192000,1607000,4162000,2640000,2274000,1478000,2196000,2166000,2607000,2622000,1498000,1320000,2494000,2771000,2188000,2852000,2552000,2540000,2165000,1906000,2509000,2457000,2577000,108.081,44.6
"72",4951000,2452000,2700000,389100,1670000,2860000,2587000,2496000,1477000,2235000,2573000,4951000,2669000,1386000,1418000,2622000,2848000,2408000,2648000,2812000,2646000,2080000,2408000,3731000,2667000,2734000,108.081,44.94
"73",7141000,2836000,3028000,4290000,1797000,6158000,5822000,2871000,1794000,4769000,2984000,4508000,2978000,1419000,1584000,3149000,2986000,7141000,2721000,3142000,2839000,2651000,2719000,3949000,2903000,2924000,108.081,45.32
"74",3194000,1507000,2564000,2419000,1504000,3123000,3194000,1926000,1320000,2358000,1845000,2862000,2468000,1326000,1211000,1577000,2059000,2350000,2109000,1990000,2245000,1647000,1952000,2475000,1847000,2186000,108.081,45.86
"75",2512000,1836000,1675000,1739000,1440000,2484000,2317000,1553000,1074000,1693000,1045000,2512000,1733000,985200,1572000,1556000,1432000,1565000,1275000,1624000,1549000,903900,1393000,1499000,1354000,1812000,108.081,46.32
"76",3141000,1935000,2151000,3068000,1522000,2936000,3141000,2060000,1690000,2733000,2063000,2765000,2150000,1130000,1410000,1960000,2098000,2749000,1994000,2124000,1971000,1809000,1915000,2698000,2015000,2137000,108.081,46.75
"77",1957000,1748000,1841000,1730000,1222000,1891000,1744000,1816000,1132000,1778000,1776000,1927000,1818000,1066000,894400,1820000,1574000,1957000,1509000,1747000,1498000,1068000,1678000,1379000,1766000,1638000,108.081,49.15
"78",5505000,2391000,2646000,2749000,1968000,2571000,2757000,2686000,1825000,5505000,2656000,2759000,2683000,1562000,1286000,2426000,2557000,2608000,2115000,2637000,2638000,2088000,2715000,4576000,2275000,2725000,108.081,49.58
"79",6333000,2926000,3167000,3004000,2625000,3200000,3187000,3377000,2137000,2945000,2934000,3602000,3252000,1664000,1825000,2938000,2868000,6333000,2214000,3207000,3013000,2451000,3297000,2506000,2657000,3277000,108.081,50.06
"80",9571000,3547000,3788000,3726000,3021000,3655000,3943000,3983000,2794000,3614000,3840000,9571000,3826000,2143000,2207000,3684000,3587000,3951000,3411000,3762000,3918000,3501000,3806000,3572000,3593000,4144000,108.081,50.4
"81",33940000,9180000,8299000,8627000,5630000,8874000,9103000,8275000,5334000,33940000,8317000,29810000,8153000,5024000,5027000,9114000,8196000,8253000,8662000,9066000,8202000,8793000,8126000,30900000,8816000,8407000,108.081,54.44
"82",31510000,8818000,8429000,2204000,5465000,8929000,2698000,8230000,5302000,9087000,8331000,8128000,8446000,5086000,5052000,9114000,8704000,31510000,8726000,9271000,8565000,9017000,8427000,8788000,8801000,8197000,108.081,54.75
"83",34480000,7381000,7328000,34040000,4547000,7442000,34480000,6823000,4397000,3759000,7280000,7197000,7089000,4443000,4238000,7697000,7334000,6861000,7280000,7715000,7164000,7549000,7070000,2142000,7703000,6858000,108.081,54.82
"84",6760000,6273000,5971000,6267000,3846000,6350000,1876000,5784000,3722000,6760000,5877000,5840000,6032000,3586000,3595000,6568000,6289000,5812000,6191000,6587000,6094000,6399000,6050000,6061000,6197000,5792000,108.081,54.83
"85",1784000,290300,201100,274200,719400,249300,226300,247800,296100,316800,224800,249800,267700,294200,146900,249800,584300,199700,289800,223700,227200,275600,248900,1784000,263700,217500,109.028,0.47
"86",2636000,432700,879100,686500,1680000,185100,357000,2636000,1408000,561000,836200,1079000,400400,217200,940600,7048,355700,1298000,1868000,476800,553000,998900,1610000,508800,1349000,662700,109.101,15.4
"87",2518000,343600,798000,536400,2001000,178000,316100,447600,1273000,468000,660400,820000,321700,203800,849200,7437,435700,1032000,1456000,407700,469400,475400,1196000,400500,2518000,545300,109.101,15.45
"88",55810000,43880000,51710000,47100000,55810000,34790000,47960000,38720000,36470000,44680000,35610000,40560000,44630000,47140000,33960000,40050000,46520000,44300000,29360000,38450000,34920000,27210000,36540000,35810000,45260000,25640000,110.009,1.44
"89",605100,307600,306600,305800,489500,311300,325200,281500,605100,313000,301500,291800,288600,591100,531200,316500,305400,318300,324300,314800,294600,321300,293900,310900,308200,281100,112.985,0.41
"90",1346000,1291000,1295000,567000,575800,575100,591100,512400,560600,1346000,529100,521800,525100,550600,629400,574800,566400,575600,590000,573900,514600,1331000,531700,582900,578400,1166000,112.985,0.84
"91",1383000,550800,523000,1287000,589100,558600,566900,1169000,1128000,545000,1233000,507300,1282000,1190000,604800,1362000,1290000,1316000,1380000,565500,1197000,569100,1214000,1332000,1383000,496500,112.985,1.07
"92",1399000,208500,132800,212900,211500,189100,179700,287900,120100,151200,197000,250700,165700,207000,240800,155100,292700,203000,115000,1399000,239600,271700,251000,249400,120600,322300,112.985,1.44
"93",1197000,207200,87580,119400,117000,163600,131700,279700,167400,81120,172700,1197000,124600,126700,167800,85380,291900,177100,139900,148500,238300,244600,241100,223500,91800,321000,112.985,1.45
"94",1473000,375100,392800,459700,569900,509500,337300,478700,426000,245200,365200,378200,492100,441700,547200,475900,543500,413600,1473000,351300,393400,360400,497300,574200,416300,399800,112.985,21.26
"95",1680000,461500,430400,513700,597200,558500,383100,559500,477500,284900,416700,463500,567500,472100,618100,545700,606500,475000,1680000,418800,461700,413700,596100,648100,502800,459500,112.985,22.83
"96",3519000,1739000,749700,707800,907000,802400,608300,772000,1035000,625200,627800,706800,850000,694800,952300,940700,3519000,766300,1004000,668900,666000,651200,822700,936400,777000,770100,112.985,28.26
"97",3105000,622600,750600,809600,903400,808300,633100,837000,3105000,563800,704400,735800,903100,729400,1077000,953800,920100,747300,901800,660500,686400,678700,821700,958400,771100,798200,112.985,29.67
"98",3140000,802900,841000,889500,1003000,879000,1894000,913900,921000,2045000,3140000,819200,976100,731200,1188000,1123000,999500,837200,831400,2603000,806100,749000,902800,1043000,795400,930500,112.985,30.4
"99",4066000,847400,923300,922400,1109000,885900,777200,939500,3159000,648600,797700,853000,1008000,749300,1193000,1107000,1033000,886500,4066000,843900,846600,2398000,948100,1076000,883600,961600,112.985,30.49
"100",2098000,921600,951100,947400,1178000,951100,562100,1048000,1050000,2098000,814900,890100,1038000,897900,1392000,1109000,1047000,933000,1185000,778000,772900,786000,926300,1083000,877300,947500,112.985,31.49
"101",3854000,1018000,1039000,1204000,1209000,1040000,1006000,1123000,1269000,2460000,848000,1013000,1153000,934000,1419000,1162000,3854000,1027000,1283000,848700,814500,808900,1034000,1157000,979200,1150000,112.985,31.91
"102",1299000,1034000,1046000,1064000,1237000,1044000,1053000,1152000,1179000,778900,863200,1008000,1132000,940700,1299000,1175000,1278000,1134000,1254000,890400,819700,877900,1001000,1154000,1003000,989600,112.985,31.95
"103",3253000,950300,1052000,1085000,1476000,1075000,981500,1097000,1149000,754100,900300,1014000,2190000,1007000,1355000,1149000,953000,3253000,1202000,3063000,838500,909400,2946000,1148000,1018000,1005000,112.985,32.25
"104",3678000,1019000,1026000,984400,3678000,1054000,732900,1069000,1146000,766200,885400,995700,1104000,1850000,1294000,1106000,1138000,1037000,1255000,843000,817900,909300,1e+06,2212000,2837000,1001000,112.985,32.55
"105",2261000,1049000,1041000,1003000,1269000,1056000,584800,2261000,1108000,791600,907800,1004000,1091000,1207000,1266000,1134000,1115000,1054000,1207000,844000,840100,899200,1015000,1112000,1003000,950700,112.985,32.91
"106",4284000,2985000,1058000,1881000,1271000,1340000,897900,1116000,1175000,1557000,2765000,2897000,1239000,1640000,1251000,4284000,1153000,1081000,3620000,865100,864700,911400,1041000,1116000,1033000,1020000,112.985,33.23
"107",3797000,973300,3797000,983700,1289000,1025000,864100,2564000,3381000,842600,929800,2646000,1098000,1232000,1341000,1140000,1135000,1132000,1254000,871700,916300,937400,1087000,1119000,979900,1050000,112.985,33.61
"108",3062000,948400,1047000,939500,3062000,1034000,864000,1066000,1076000,821700,1522000,1046000,1069000,1104000,1376000,1170000,1121000,1038000,2009000,912900,933900,925000,985100,1105000,1598000,1052000,112.985,33.96
"109",1819000,1056000,1074000,1009000,1276000,1022000,865300,1077000,1226000,914400,957200,1040000,1043000,1417000,1310000,1190000,1118000,1819000,1254000,953500,934400,963500,1669000,1148000,1026000,1026000,112.985,34.24
"110",3338000,3338000,1066000,992000,1237000,2961000,868000,1045000,1196000,868000,990900,1037000,1060000,1580000,1253000,1167000,1086000,912200,2679000,950100,925800,977300,946800,1136000,1058000,1029000,112.985,34.67
"111",4167000,1033000,1014000,994200,1241000,1060000,938700,1059000,1229000,943600,984400,1060000,4167000,437400,3665000,1200000,1134000,3690000,1222000,952100,920800,1009000,1021000,1126000,1059000,1023000,112.985,35.05
"112",4077000,998700,1055000,1018000,1182000,4077000,928200,1037000,1187000,1027000,986800,1038000,2718000,1095000,1201000,1095000,1082000,1072000,1189000,971000,967500,993100,1059000,1102000,1056000,1018000,112.985,35.8
"113",2829000,982800,1022000,1209000,1224000,1115000,1365000,1082000,1497000,2811000,1136000,990200,1249000,1065000,2829000,1077000,1060000,1029000,1112000,926900,964700,966700,1013000,1534000,1005000,985300,112.985,36.74
"114",3044000,1107000,1175000,1096000,1348000,1137000,1101000,1116000,1481000,1100000,1141000,1092000,1119000,1265000,1490000,1182000,1214000,1134000,1165000,1164000,1089000,1123000,3044000,1187000,1114000,1112000,112.985,41.66
"115",4057000,1094000,1136000,1062000,4057000,1216000,1187000,1439000,1764000,1093000,1129000,1014000,1144000,1374000,1365000,1142000,1251000,1446000,1026000,1148000,1103000,1361000,1512000,1101000,1330000,1097000,112.985,42.57
"116",1628000,1110000,1064000,971700,1628000,1252000,1230000,969100,1227000,1052000,1056000,959800,1142000,1360000,1224000,1020000,1223000,1025000,961400,1123000,971800,994100,937700,1047000,987000,1082000,112.985,42.77
"117",3337000,2119000,1243000,1088000,1181000,1214000,3337000,1632000,2218000,1976000,1218000,1115000,1204000,1373000,1460000,1206000,1292000,1810000,1119000,1304000,1121000,1122000,1106000,1181000,1110000,1224000,112.985,43.28
"118",1798000,1159000,1311000,1140000,1384000,1263000,1263000,1083000,1434000,1079000,1153000,1158000,1261000,1448000,1574000,1237000,1231000,1169000,1249000,1336000,1169000,1137000,1137000,1798000,1123000,1193000,112.985,43.46
"119",4073000,1096000,1326000,1096000,1450000,1270000,191200,1122000,1450000,1071000,1774000,1191000,1209000,3046000,1543000,2560000,1278000,1125000,1302000,1336000,4073000,1945000,1169000,1164000,1190000,1249000,112.985,43.56
"120",5437000,2474000,1306000,4095000,1643000,1336000,2489000,1220000,3109000,2708000,2835000,1263000,1306000,1422000,5437000,1849000,1261000,1300000,1273000,1338000,1265000,1253000,4087000,1709000,1253000,1269000,112.985,43.95
"121",4102000,1133000,1253000,1184000,1563000,1277000,1313000,2782000,1636000,1127000,1258000,1244000,1255000,1489000,1547000,1239000,1298000,2823000,1202000,1344000,1199000,2632000,1165000,1300000,4102000,1278000,112.985,44.11
"122",3010000,1168000,1268000,1448000,1648000,1268000,1238000,1179000,1544000,1060000,1179000,1253000,1261000,3010000,1507000,1249000,1296000,1207000,1309000,1281000,1269000,1167000,1160000,1335000,1152000,1267000,112.985,44.6
"123",4356000,1229000,1216000,1188000,1706000,1354000,1285000,1249000,1518000,1169000,1244000,1281000,1215000,1543000,2215000,1306000,1323000,1258000,1301000,1299000,4356000,1507000,1256000,1741000,1249000,1266000,112.985,44.79
"124",5531000,3331000,1377000,2116000,1634000,1374000,1448000,3533000,5531000,1267000,4379000,1304000,1327000,2388000,2159000,4398000,1303000,1398000,1198000,1389000,1290000,2572000,1284000,1339000,1320000,1368000,112.985,45.29
"125",4703000,1228000,1395000,1274000,3122000,1320000,4703000,1325000,1701000,4198000,1325000,1190000,1324000,1595000,1468000,1250000,1303000,4431000,2842000,1345000,1313000,1263000,4401000,2855000,3377000,1369000,112.985,45.4
"126",2108000,1271000,1304000,1190000,1604000,1294000,1313000,1209000,1521000,1178000,1184000,1207000,1253000,2108000,1381000,1195000,1202000,1237000,1219000,1144000,1256000,1150000,1182000,1240000,1050000,1226000,112.985,45.63
"127",1977000,877000,911700,984100,1323000,924900,899900,901800,1126000,566900,579600,892800,859600,1314000,1977000,620200,706000,603600,634400,568100,607400,576100,645500,778000,559200,901700,112.985,45.86
"128",1829000,992400,911000,676400,1029000,901900,952800,776700,962800,801800,736200,937400,1506000,1249000,1829000,818900,796800,732400,727000,1368000,1481000,602500,718200,615100,683700,1537000,112.985,46
"129",947700,506800,859500,834000,774400,702900,781700,636100,947700,779700,767700,598100,636400,530100,905100,708000,720400,776500,749300,596900,645400,680600,759200,741500,757400,696500,112.985,46.53
"130",723500,474500,495100,512400,710100,475600,531900,513700,704300,514400,528300,461400,530700,723500,629100,480000,482800,537300,516200,493400,493000,492800,495100,527400,511500,537400,112.985,46.62
