Family,Genus,Species,AA,US,World,Notes
Caprifoliaceae,Lonicera,xylosteum,5,Invasive,Europe,
Celastraceae,Celastrus,angulatus,5,No,Asia,
Celastraceae,Celastrus,orbiculatus,1,Invasive,Asia,
Celastraceae,Celastrus,scandens,4,East,NA,
Celastraceae,Euonymus,alatus,5,Invasive,Asia,
Celastraceae,Euonymus,americanus,7,East,NA,
Celastraceae,Euonymus,atropurpureus,4,East,NA,
Celastraceae,Euonymus,bungeanus,7,No,Asia,
Celastraceae,Euonymus,carnosus,3,No,Asia,
Celastraceae,Euonymus,europaeus,8,Invasive,Europe,
Celastraceae,Euonymus,fortunei,4,Invasive,Asia,
Celastraceae,Euonymus,grandiflorus,1,No,Asia,
Celastraceae,Euonymus,hamiltonianus,12,No,Asia,
Celastraceae,Euonymus,kiautschovica,1,No,Asia,
Celastraceae,Euonymus,latifolius,2,No,Europe,
Celastraceae,Euonymus,maackii,3,No,Asia,
Celastraceae,Euonymus,nanus,2,No,Asia,
Celastraceae,Euonymus,obovatus,1,East,NA,
Celastraceae,Euonymus,oresbius,2,No,Asia,
Celastraceae,Euonymus,oxyphyllus,1,No,Asia,
Celastraceae,Euonymus,phellomanus,1,No,Asia,
Celastraceae,Euonymus,sachalinensis,1,No,Asia,
Elaeagnaceae,Elaeagnus,angustifolia,0,Invasive,Eurasia,
Elaeagnaceae,Elaeagnus,commutata,0,Northeast,NA,Not in arb
Elaeagnaceae,Elaeagnus,lanceolata,3,No,Asia,
Elaeagnaceae,Elaeagnus,multiflora,3,No,Asia,
Elaeagnaceae,Elaeagnus,umbellata,12,Invasive,Asia,
Moraceae,Morus,alba,8,Invasive,Asia,
Moraceae,Morus,australis,2,No,Asia,
Moraceae,Morus,bombycis,1,No,Asia,
Moraceae,Morus,kagayamae,1,Invasive,Asia,Morus indica
Moraceae,Morus,nigra,0,Invasive,Asia,
Moraceae,Morus,rubra,2,East,NA,
Rhamnaceae,Berchemia,scandens,2,Southeast,NA,
Rhamnaceae,Ceanothus,americanus,5,East,NA,
Rhamnaceae,Frangula,alnus,0,Invasive,Europe,Found in arboretum
Rhamnaceae,Frangula,caroliniana,0,Southeast,NA,Not in arb
Rhamnaceae,Frangula,purshiana,0,Northwest,NA,Not in arb
Rhamnaceae,Hovenia,dulcis,2,No,Asia,
Rhamnaceae,Rhamnus,californica,1,West,NA,
Rhamnaceae,Rhamnus,carthartica,0,Invasive,Europe,Found in arboretum
Rhamnaceae,Rhamnus,davurica,1,Invasive,Asia,
Rhamnaceae,Rhamnus,hupehensis,1,No,Asia,
Rhamnaceae,Rhamnus,lanceolata,0,East,NA,Not in arb
Rhamnaceae,Sageretia,thea,2,No,Asia,
Simaroubaceae,Ailanthus,altissima,2,Invasive,Asia,
Simaroubaceae,Ailanthus,giraldii,1,No,Asia,
Simaroubaceae,Ailanthus,vilmoriniana,1,No,Asia,
Simaroubaceae,Leitneria,floridana,8,Southeast,NA,
Simaroubaceae,Picrasma,quassioides,10,No,Asia,
Simaroubaceae,Simarouba,glauca,0,Southeast,NA,Not in arb
