gridNum,id,Binomial,Family,Provenance,notes
10,20187*C,Morus kagayamae,Moraceae,non-invasive exotic,Taxonomy uncertain; treated as synonym of Morus indica by Kew POWO; no invasive populations documented under this name
10,250-89*A,Berchemia scandens,Rhamnaceae,native,
11,293-2003*C,Viburnum farreri,Adoxaceae,non-invasive exotic,
11,392-2018*A,Viburnum setigerum,Adoxaceae,non-invasive exotic,"debateable, very minor invasive"
11,1453-77*MASS,Berberis poiretii,Berberidaceae,non-invasive exotic,
11,543-93*A,Lonicera etrusca,Caprifoliaceae,non-invasive exotic,
11,219-2000*A,Lonicera graebneri,Caprifoliaceae,non-invasive exotic,
11,1723-80*B,Lonicera gynochlamydea,Caprifoliaceae,non-invasive exotic,
11,419-2008*A,Lonicera henryi,Caprifoliaceae,non-invasive exotic,
11,393-96*A,Lonicera sempervirens,Caprifoliaceae,native,
11,694-83*A,Lonicera steveniana,Caprifoliaceae,non-invasive exotic,
11,1652-77*F,Lonicera subsessilis,Caprifoliaceae,non-invasive exotic,
11,299-78*B,Lonicera tatarica,Caprifoliaceae,invasive,
11,220-2000*B,Lonicera webbiana,Caprifoliaceae,non-invasive exotic,
11,373-2001*A,Euonymus carnosus,Celastraceae,non-invasive exotic,
11,327-2022*MASS,Ceanothus americanus,Rhamnaceae,native,
11,3025*A,Rhamnus davurica,Rhamnaceae,invasive,
12,449-87*C,Berberis aggregata,Berberidaceae,non-invasive exotic,
12,355-92*B,Berberis asiatica,Berberidaceae,non-invasive exotic,
12,173-83*A,Berberis dielsiana,Berberidaceae,non-invasive exotic,
12,906-87*A,Berberis gilgiana,Berberidaceae,non-invasive exotic,
12,791-82*A,Berberis koreana,Berberidaceae,non-invasive exotic,
12,359-92*C,Berberis polyantha,Berberidaceae,non-invasive exotic,
12,1449-77*A,Berberis quelpaertensis,Berberidaceae,non-invasive exotic,
12,950-83*A,Berberis virescens,Berberidaceae,non-invasive exotic,
13,2025-1*A,Viburnum dentatum,Adoxaceae,native,
13,2025-2*A,Ailanthus altissima,Simaroubaceae,invasive,
13,2025-3*A,Celastrus orbiculatus,Celastraceae,invasive,
13,2025-4*A,Rhamnus cathartica,Rhamnaceae,invasive,
13,2025-5*A,Frangula alnus,Rhamnaceae,invasive,
13,392-92*A,Lonicera bella,Caprifoliaceae,invasive,Hybrid (Lonicera morrowii × L. tatarica)
13,338-92*B,Lonicera deflexicalyx,Caprifoliaceae,non-invasive exotic,
13,695-88*B,Lonicera ferdinandi,Caprifoliaceae,non-invasive exotic,
13,815-84*A,Lonicera koehneana,Caprifoliaceae,non-invasive exotic,
13,806-84*A,Lonicera maackii,Caprifoliaceae,invasive,
13,694-88*B,Lonicera ruprechtiana,Caprifoliaceae,invasive,
13,47-67*A,Morus alba,Moraceae,invasive,
14,1804-77*C,Viburnum dilatatum,Adoxaceae,invasive,
14,17988*B,Viburnum furcatum,Adoxaceae,non-invasive exotic,
14,438-2011*B,Viburnum lantanoides,Adoxaceae,native,
14,11822*A,Lonicera muscaviensis,Caprifoliaceae,invasive,Hybrid (Lonicera morrowii × L. ruprechtiana); may be dropped from future analysis
14,679-87*A,Morus australis,Moraceae,non-invasive exotic,
14,796-85*A,Morus rubra,Moraceae,native,
14,30-96*A,Leitneria floridana,Simaroubaceae,native,
15,683-75*A,Picrasma quassioides,Simaroubaceae,non-invasive exotic,
16,627-2016*A,Viburnum nudum,Adoxaceae,native,
16,975-83*B,Berberis ottawensis,Berberidaceae,invasive,Hybrid (Berberis thunbergii × B. vulgaris)
16,341-81*MASS,Berberis virgetorum,Berberidaceae,non-invasive exotic,
16,538-78*A,Berberis vulgaris,Berberidaceae,invasive,
16,18-92*B,Lonicera pileata,Caprifoliaceae,non-invasive exotic,
16,2025-6*A,Lonicera japonica,Caprifoliaceae,invasive,
