"term","df","sumsq","meansq","statistic","p.value","eta_sq","Variable"
"Type",2,295818.685714285,147909.342857143,4.6431122950619,0.012928876824594,0.121728721535474,"Mass..mg."
"Residuals",67,2134328.3,31855.6462686567,NA,NA,0.878271278464526,"Mass..mg."
"Type",2,0.626954285714286,0.313477142857143,9.35531755541287,0.000261121720081777,0.218300040439935,"Toughness..N."
"Residuals",67,2.24503,0.0335079104477612,NA,NA,0.781699959560065,"Toughness..N."
"Type",2,0.0363850828571428,0.0181925414285714,8.43851609336798,0.000538844596880017,0.201211604020067,"Thickness..mm."
"Residuals",67,0.14444486,0.00215589343283582,NA,NA,0.798788395979933,"Thickness..mm."
