formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C3H5O3P	[M + K]+	C3H5KO3P+		1.000	31.669	31.669	0.000	6	0.209	-1.483	2.628	4.411		158.961	14	0.240	852608683930832528	852601230421525479	852601230421525478	1115	
2	CH4O5P2	[M + H]+	CH5O5P2+		0.000	23.704	23.704	0.000	5	0.199	-1.024	1.238	5.140		158.961	14	0.240	852608683930832529	852601230421525479	852601230421525478	1115	
3	C2H2NO4S	[M + Na]+	C2H2NNaO4S+		0.000	14.216	14.216	0.000	3	0.178	7.663	7.663	11.423		158.961	14	0.240	852608683930832530	852601230421525479	852601230421525478	1115	
4	C2H4N2O2S	[M + K]+	C2H4KN2O2S+		0.000	10.999	10.999	0.000	2	0.015	7.803	7.803	-6.394		158.961	14	0.240	852608683930832531	852601230421525479	852601230421525478	1115	
5	C6HO2P	[M + Na]+	C6HNaO2P+		0.000	9.984	9.984	0.000	4	0.166	3.373	3.526	5.369		158.961	14	0.240	852608683930832532	852601230421525479	852601230421525478	1115	
6	C2H4NO2P2	[M + Na]+	C2H4NNaO2P2+		0.000	9.462	9.462	0.000	7	0.221	-2.326	3.973	3.414		158.961	14	0.240	852608683930832533	852601230421525479	852601230421525478	1115	
7	H3N2O4PS	[M + H]+	H4N2O4PS+		0.000	7.826	7.826	0.000	2	0.015	7.803	7.803	-5.666		158.961	14	0.240	852608683930832534	852601230421525479	852601230421525478	1115	
8	NO4PS	[M + H3N + H]+	H4N2O4PS+		0.000	7.826	7.826	0.000	0	0.000			-5.666		158.961	14	0.240	852608683930832535	852601230421525479	852601230421525478	1115	
9	C3H2FO3P	[M + Na]+	C3H2FNaO3P+		0.000	6.590	6.590	0.000	3	0.021	-2.381	2.381	-1.821		158.961	14	0.240	852608683930832536	852601230421525479	852601230421525478	1115	
10	C5N2OS	[M + Na]+	C5N2NaOS+		0.000	6.157	6.157	0.000	1	0.004	-6.770	6.770	-5.437		158.961	14	0.240	852608683930832537	852601230421525479	852601230421525478	1115	
1	CHNOS	[M + Na]+	CHNNaOS+		0.832	-1.535	-1.535	0.000	0	0.000	17.318	17.318	17.604		97.969	15	0.244	852608677555489147	852601230274724819	852601230274724818	1111	
2	C2H3Cl2	[M + H]+	C2H4Cl2+		0.154	-3.220	-5.362	2.142	0	0.000	3.522	3.522	3.808		97.969	15	0.244	852608677555489148	852601230274724819	852601230274724818	1111	
3	HO4S	[M + H]+	H2O4S+		0.007	-6.340	-6.340	0.000	0	0.000	20.119	20.119	20.405		97.969	15	0.244	852608677555489149	852601230274724819	852601230274724818	1111	
4	C2H4P	[M + K]+	C2H4KP+		0.006	-6.472	-8.470	1.999	0	0.000	5.942	5.942	6.228		97.969	15	0.244	852608677555489150	852601230274724819	852601230274724818	1111	
5	H3O2P2	[M + H]+	H4O2P2+		0.000	-9.426	-9.529	0.103	0	0.000	7.124	7.124	7.410		97.969	15	0.244	852608677555489151	852601230274724819	852601230274724818	1111	
1	C3H3Cl2O2	[M + H]+	C3H4Cl2O2+		0.951	11.879	9.552	2.327	2	0.301	-3.054	3.054	3.197		141.959	15	0.245	852608683603676672	852601230308279256	852601230304084951	1112	
2	C3H4O2P	[M + K]+	C3H4KO2P+		0.031	8.445	6.268	2.177	2	0.301	-0.804	0.804	4.867		141.959	15	0.245	852608683603676673	852601230308279256	852601230304084951	1112	
3	CH3O4P2	[M + H]+	CH4O4P2+		0.012	7.479	6.272	1.208	2	0.301	0.295	0.295	5.683		141.959	15	0.245	852608683603676674	852601230308279256	852601230304084951	1112	
4	C4H4ClO	[M + K]+	C4H4ClKO+		0.006	6.784	4.457	2.327	1	0.220	-2.412	2.412	3.624		141.959	15	0.245	852608683603676675	852601230308279256	852601230304084951	1112	
5	C2H3NOP2	[M + Na]+	C2H3NNaOP2+		0.001	4.330	2.684	1.647	1	0.220	-2.256	2.256	3.750		141.959	15	0.245	852608683603676676	852601230308279256	852601230304084951	1112	
6	C2H5OS3	[M + H]+	C2H6OS3+		0.000	2.616	2.018	0.599	1	0.220	3.698	3.698	8.529		141.959	15	0.245	852608683603676677	852601230308279256	852601230304084951	1112	
7	C2HNO3S	[M + Na]+	C2HNNaO3S+		0.000	0.780	0.391	0.390	0	0.000			12.718		141.959	15	0.245	852608683603676678	852601230308279256	852601230304084951	1112	
8	C2HF2NS2	[M + H]+	C2H2F2NS2+		0.000	0.099	-1.219	1.318	0	0.000			-2.704		141.959	15	0.245	852608683603676679	852601230308279256	852601230304084951	1112	
9	C6OP	[M + Na]+	C6NaOP+		0.000	-0.523	-1.878	1.355	1	0.220	0.471	0.471	5.939		141.959	15	0.245	852608683603676680	852601230308279256	852601230304084951	1112	
10	HN5S	[M + K]+	HKN5S+		0.000	-0.804	-0.804	0.000	0	0.000			2.225		141.959	15	0.245	852608683603676681	852601230308279256	852601230304084951	1112	
1	CH5S3	[M + H]+	CH6S3+		0.465	-1.004	-1.185	0.182	0	0.000	10.173	10.173	10.401		113.964	15	0.246	852608680218872604	852601230383776738	852601230383776737	1114	
2	CHNO2S	[M + Na]+	CHNNaO2S+		0.263	-1.576	-1.576	0.000	0	0.000	15.391	15.391	15.619		113.964	15	0.246	852608680218872605	852601230383776738	852601230383776737	1114	
3	C2H3Cl2O	[M + H]+	C2H4Cl2O+		0.134	-2.251	-4.388	2.137	0	0.000	3.532	3.532	3.760		113.964	15	0.246	852608680218872606	852601230383776738	852601230383776737	1114	
4	C3H4Cl	[M + K]+	C3H4ClK+		0.052	-3.200	-5.417	2.217	0	0.000	4.064	4.064	4.292		113.964	15	0.246	852608680218872607	852601230383776738	852601230383776737	1114	
5	C3HNP2	[M + H]+	C3H2NP2+		0.031	-3.698	-4.696	0.998	0	0.000	-16.889	16.889	-16.661		113.964	15	0.246	852608680218872608	852601230383776738	852601230383776737	1114	
6	CH3NP2	[M + Na]+	CH3NNaP2+		0.031	-3.708	-4.816	1.108	0	0.000	4.220	4.220	4.448		113.964	15	0.246	852608680218872609	852601230383776738	852601230383776737	1114	
7	C3HClF	[M + Na]+	C3HClFNa+		0.009	-4.903	-7.057	2.155	0	0.000	-4.630	4.630	-4.402		113.964	15	0.246	852608680218872610	852601230383776738	852601230383776737	1114	
8	CH3N2S	[M + K]+	CH3KN2S+		0.006	-5.290	-5.743	0.453	0	0.000	-9.461	9.461	-9.233		113.964	15	0.246	852608680218872611	852601230383776738	852601230383776737	1114	
9	H2N3P	[M + K]+	H2KN3P+		0.004	-5.740	-5.740	0.000	0	0.000	17.393	17.393	17.621		113.964	15	0.246	852608680218872612	852601230383776738	852601230383776737	1114	
10	C2H4OP	[M + K]+	C2H4KOP+		0.002	-6.508	-8.499	1.991	0	0.000	5.612	5.612	5.840		113.964	15	0.246	852608680218872613	852601230383776738	852601230383776737	1114	
1	C6H4NO3PS2	[M - H]-	C6H3NO3PS2-		0.333	24.669	24.669	0.000	5	0.264	0.298	0.298	4.031		231.931	15	0.249	852608683641425443	852601183617281573	852601183592115748	1	
2	C6H6NO4PS2	[M - H2O - H]-	C6H3NO3PS2-		0.333	24.669	24.669	0.000	5	0.264	0.298	0.298	-77650.916		231.931	15	0.249	852608683641425444	852601183617281573	852601183592115748	1	
3	C5H2NOPS2	[M + CH2O2 - H]-	C6H3NO3PS2-		0.333	24.669	24.669	0.000	0	0.000			4.031		231.931	15	0.249	852608683641425445	852601183617281573	852601183592115748	1	
4	C2H7N2O3P2S2	[M - H]-	C2H6N2O3P2S2-		0.000	14.597	14.597	0.000	4	0.256	-0.793	0.793	2.691		231.931	15	0.249	852608683641425446	852601183617281573	852601183592115748	1	
5	C2H9N2O4P2S2	[M - H2O - H]-	C2H6N2O3P2S2-		0.000	14.597	14.597	0.000	4	0.256	-0.793	0.793	-77652.256		231.931	15	0.249	852608683641425447	852601183617281573	852601183592115748	1	
6	CH5N2OP2S2	[M + CH2O2 - H]-	C2H6N2O3P2S2-		0.000	14.597	14.597	0.000	0	0.000			2.691		231.931	15	0.249	852608683641425448	852601183617281573	852601183592115748	1	
7	C10HO3S2	[M - H]-	C10O3S2-		0.000	5.507	5.507	0.000	3	0.148	1.952	1.952	5.370		231.931	15	0.249	852608683641425449	852601183617281573	852601183592115748	1	
8	C10H3O4S2	[M - H2O - H]-	C10O3S2-		0.000	5.507	5.507	0.000	3	0.148	1.952	1.952	-77649.577		231.931	15	0.249	852608683641425450	852601183617281573	852601183592115748	1	
9	C5NO8P	[M - H]-	C5-HNO8P-		0.000	2.361	2.361	0.000	1	0.047	4.922	4.922	7.778		231.931	15	0.249	852608683641425451	852601183617281573	852601183592115748	1	
10	C5H2NO9P	[M - H2O - H]-	C5-HNO8P-		0.000	2.361	2.361	0.000	1	0.047	4.922	4.922	-77647.169		231.931	15	0.249	852608683641425452	852601183617281573	852601183592115748	1	
1	C7H19N3	[M + H]+	C7H20N3+		1.000	60.829	58.087	2.742	8	0.861	-6.150	6.150	0.725		146.165	84	1.408	852608678113331716	852601230450885612	852601230450885611	1116	
2	C9H21O	[M + H]+	C9H22O+		0.000	6.267	3.909	2.358	0	0.000	-8.099	8.099	-8.461		146.165	84	1.408	852608678113331717	852601230450885612	852601230450885611	1116	
1	C2H5N2O3	[M + Na]+	C2H5N2NaO3+		1.000	60.252	58.601	1.652	6	0.868	-6.019	6.019	1.033		128.019	86	1.429	852608682471214478	852601230488634353	852601230488634352	1117	
2	CH5NO6	[M + H]+	CH6NO6+		0.000	37.800	36.643	1.157	4	0.385	-2.969	3.059	3.177		128.019	86	1.429	852608682471214479	852601230488634353	852601230488634352	1117	
3	H3N5O2	[M + Na]+	H3N5NaO2+		0.000	18.598	18.598	0.000	3	0.394	0.469	6.683	11.521		128.019	86	1.429	852608682471214480	852601230488634353	852601230488634352	1117	
4	C2H2F3N2O	[M + H]+	C2H3F3N2O+		0.000	13.698	12.153	1.545	2	0.208	-5.110	5.110	1.337		128.019	86	1.429	852608682471214481	852601230488634353	852601230488634352	1117	
5	C2HN5O2	[M + H]+	C2H2N5O2+		0.000	2.133	1.548	0.585	0	0.000	-7.387	7.387	-7.270		128.019	86	1.429	852608682471214482	852601230488634353	852601230488634352	1117	
6	H7N4S2	[M + H]+	H8N4S2+		0.000	-3.419	-3.419	0.000	0	0.000	6.759	6.759	6.876		128.019	86	1.429	852608682471214483	852601230488634353	852601230488634352	1117	
7	H5N6	[M + K]+	H5KN6+		0.000	-5.313	-5.313	0.000	0	0.000	-10.719	10.719	-10.602		128.019	86	1.429	852608682471214484	852601230488634353	852601230488634352	1117	
1	C4H6N3O2	[M + Na]+	C4H6N3NaO2+		1.000	52.088	50.508	1.580	8	0.644	-5.722	5.722	0.979		151.035	86	1.435	852608682479603094	852601230517994486	852601230517994485	1118	
2	C3H6N2O5	[M + H]+	C3H7N2O5+		0.000	37.463	35.688	1.774	6	0.409	-2.683	2.716	2.796		151.035	86	1.435	852608682479603095	852601230517994486	852601230517994485	1118	
3	C3H4BF2NO3	[M + H]+	C3H5BF2NO3+		0.000	23.106	23.106	0.000	6	0.321	-3.308	3.989	-5.084		151.035	86	1.435	852608682479603096	852601230517994486	852601230517994485	1118	
4	C2H4N6O	[M + Na]+	C2H4N6NaO+		0.000	17.767	17.767	0.000	4	0.309	5.999	6.077	9.869		151.035	86	1.435	852608682479603097	852601230517994486	852601230517994485	1118	
5	C4H3F3N3	[M + H]+	C4H4F3N3+		0.000	13.495	11.935	1.560	5	0.237	0.301	4.822	1.237		151.035	86	1.435	852608682479603098	852601230517994486	852601230517994485	1118	
6	C6H9FSi	[M + Na]+	C6H9FNaSi+		0.000	8.666	8.666	0.000	4	0.025	1.633	2.531	2.610		151.035	86	1.435	852608682479603099	852601230517994486	852601230517994485	1118	
7	C5H11OPS	[M + H]+	C5H12OPS+		0.000	6.070	5.183	0.887	2	0.016	5.858	5.858	8.415		151.035	86	1.435	852608682479603100	852601230517994486	852601230517994485	1118	
8	C6H8O3	[M + Na]+	C6H8NaO3+		0.000	4.945	3.895	1.050	0	0.000	-7.990	7.990	-7.911		151.035	86	1.435	852608682479603101	852601230517994486	852601230517994485	1118	
9	C4H10N2S2	[M + H]+	C4H11N2S2+		0.000	2.697	1.979	0.718	2	0.007	-3.038	3.038	-2.958		151.035	86	1.435	852608682479603102	852601230517994486	852601230517994485	1118	
10	C9H4F2	[M + H]+	C9H5F2+		0.000	1.478	1.478	0.000	1	0.005	2.071	2.236	-0.086		151.035	86	1.435	852608682479603103	852601230517994486	852601230517994485	1118	
1	C7H5F5N2O6S3	[M - H]-	C7H4F5N2O6S3-		0.500	57.861	57.861	0.000	12	0.962	0.466	1.601	-0.977		402.915	86	1.435	852608683561733614	852601184208678462	852601184208678461	6	
2	C6H3F5N2O4S3	[M + CH2O2 - H]-	C7H4F5N2O6S3-		0.500	57.861	57.861	0.000	12	0.962	0.466	1.601	-0.977		402.915	86	1.435	852608683561733615	852601184208678462	852601184208678461	6	
3	C6H14O10P2S3	[M - H]-	C6H13O10P2S3-		0.000	40.881	40.881	0.000	11	0.955	0.385	2.266	0.406		402.915	86	1.435	852608683561733616	852601184208678462	852601184208678461	6	
4	C5H12O8P2S3	[M + CH2O2 - H]-	C6H13O10P2S3-		0.000	40.881	40.881	0.000	6	0.434	-1.979	2.365	0.406		402.915	86	1.435	852608683561733617	852601184208678462	852601184208678461	6	
5	C7H8N4O8S4	[M - H]-	C7H7N4O8S4-		0.000	36.753	36.753	0.000	9	0.948	-5.747	5.747	0.246		402.915	86	1.435	852608683561733618	852601184208678462	852601184208678461	6	
6	C6H6N4O6S4	[M + CH2O2 - H]-	C7H7N4O8S4-		0.000	36.753	36.753	0.000	5	0.540	3.811	4.353	0.246		402.915	86	1.435	852608683561733619	852601184208678462	852601184208678461	6	
7	C9H13AsO9S2	[M - H]-	C9H12AsO9S2-		0.000	21.641	21.641	0.000	5	0.540	0.860	0.860	2.236		402.915	86	1.435	852608683561733620	852601184208678462	852601184208678461	6	
8	C8H11AsO7S2	[M + CH2O2 - H]-	C9H12AsO9S2-		0.000	21.641	21.641	0.000	4	0.267	0.703	0.703	2.236		402.915	86	1.435	852608683561733621	852601184208678462	852601184208678461	6	
9	C6H12O12S4	[M - H]-	C6H11O12S4-		0.000	14.415	14.415	0.000	5	0.269	-0.531	0.815	3.566		402.915	86	1.435	852608683561733622	852601184208678462	852601184208678461	6	
10	C5H10O10S4	[M + CH2O2 - H]-	C6H11O12S4-		0.000	14.415	14.415	0.000	5	0.269	-0.531	0.815	3.566		402.915	86	1.435	852608683561733623	852601184208678462	852601184208678461	6	
1	BH3O3	[M + Na]+	BH3NaO3+		0.923	-1.070	-1.070	0.000	0	0.000	11.431	11.431	11.705		84.011	86	1.436	852608683356212672	852601230555743227	852601230555743226	1119	
2	C3FN2	[M + H]+	C3HFN2+		0.073	-3.611	-5.430	1.819	0	0.000	-5.841	5.841	-5.567		84.011	86	1.436	852608683356212673	852601230555743227	852601230555743226	1119	
3	C4H4P	[M + H]+	C4H5P+		0.003	-6.872	-8.694	1.822	0	0.000	-11.918	11.918	-11.644		84.011	86	1.436	852608683356212674	852601230555743227	852601230555743226	1119	
4	C2H6P	[M + Na]+	C2H6NaP+		0.001	-7.568	-8.939	1.371	0	0.000	16.718	16.718	16.991		84.011	86	1.436	852608683356212675	852601230555743227	852601230555743226	1119	
1	H3NO4	[M + H]+	H4NO4+		0.975	0.864	0.864	0.000	0	0.000	3.901	3.901	4.097		82.014	86	1.436	852608685042323425	852601230597686272	852601230597686271	1120	
2	CH3N2O	[M + Na]+	CH3N2NaO+		0.025	-2.797	-3.624	0.827	0	0.000	0.556	0.556	0.751		82.014	86	1.436	852608685042323426	852601230597686272	852601230597686271	1120	
1	C3H3N2O11PS	[M - H]-	C3H2N2O11PS-		0.259	19.160	17.400	1.760	6	0.994	-1.602	1.787	-2.526		304.911	86	1.437	852608686862651651	852601184561000023	852601184561000022	11	
2	C2HN2O9PS	[M + CH2O2 - H]-	C3H2N2O11PS-		0.259	19.160	17.400	1.760	2	0.013	-0.103	1.602	-2.526		304.911	86	1.437	852608686862651652	852601184561000023	852601184561000022	11	
3	C3H5N2O9P3	[M - H]-	C3H4N2O9P3-		0.221	19.001	17.055	1.946	4	0.981	-1.787	1.787	-6.701		304.911	86	1.437	852608686862651653	852601184561000023	852601184561000022	11	
4	C2H3N2O7P3	[M + CH2O2 - H]-	C3H4N2O9P3-		0.221	19.001	17.055	1.946	1	0.006	-2.821	2.821	-6.701		304.911	86	1.437	852608686862651654	852601184561000023	852601184561000022	11	
5	C4H4Cl3F3N2O4	[M - H]-	C4H3Cl3F3N2O4-		0.010	15.911	14.220	1.691	5	0.988	-0.795	2.778	-0.419		304.911	86	1.437	852608686862651655	852601184561000023	852601184561000022	11	
6	C3H2Cl3F3N2O2	[M + CH2O2 - H]-	C4H3Cl3F3N2O4-		0.010	15.911	14.220	1.691	2	0.013	2.216	2.216	-0.419		304.911	86	1.437	852608686862651656	852601184561000023	852601184561000022	11	
7	C4H7N2O6PS3	[M - H]-	C4H6N2O6PS3-		0.009	15.776	13.663	2.112	5	0.985	-2.155	2.155	-5.376		304.911	86	1.437	852608686862651657	852601184561000023	852601184561000022	11	
8	C3H5N2O4PS3	[M + CH2O2 - H]-	C4H6N2O6PS3-		0.009	15.776	13.663	2.112	1	0.006	-1.429	1.812	-5.376		304.911	86	1.437	852608686862651658	852601184561000023	852601184561000022	11	
9	C5H8O7P2S2	[M - H]-	C5H7O7P2S2-		0.000	12.427	10.627	1.801	5	0.901	2.645	2.645	0.258		304.911	86	1.437	852608686862651659	852601184561000023	852601184561000022	11	
10	C4H6O5P2S2	[M + CH2O2 - H]-	C5H7O7P2S2-		0.000	12.427	10.627	1.801	3	0.018	2.385	2.385	0.258		304.911	86	1.437	852608686862651660	852601184561000023	852601184561000022	11	
1	C2H3N2O2	[M + Na]+	C2H3N2NaO2+		1.000	20.659	18.964	1.695	2	0.489	-7.565	7.565	1.336		110.009	86	1.439	852608688833974988	852601230635435013	852601230635435012	1121	
2	CH3NO5	[M + H]+	CH4NO5+		0.000	11.389	10.358	1.030	1	0.136	-0.254	3.966	3.830		110.009	86	1.439	852608688833974989	852601230635435013	852601230635435012	1121	
3	C2H7NS2	[M + H]+	C2H8NS2+		0.000	1.765	0.189	1.575	0	0.000	-4.188	4.188	-4.069		110.009	86	1.439	852608688833974990	852601230635435013	852601230635435012	1121	
4	HN5O	[M + Na]+	HN5NaO+		0.000	0.224	0.224	0.000	0	0.000	13.423	13.423	13.541		110.009	86	1.439	852608688833974991	852601230635435013	852601230635435012	1121	
5	C2F3N2	[M + H]+	C2HF3N2+		0.000	-2.710	-4.286	1.576	0	0.000	1.572	1.572	1.690		110.009	86	1.439	852608688833974992	852601230635435013	852601230635435012	1121	
1	CH2Cl2	[M + H]+	CH3Cl2+		0.934	0.518	-1.059	1.577	0	0.000	-11.074	11.074	-10.851		84.960	87	1.442	852608685067489264	852601230744486932	852601230744486931	1124	
2	CH3P	[M + K]+	CH3KP+		0.064	-2.167	-3.927	1.760	0	0.000	-8.284	8.284	-8.061		84.960	87	1.442	852608685067489265	852601230744486932	852601230744486931	1124	
3	NOS	[M + Na]+	NNaOS+		0.003	-5.392	-5.392	0.000	0	0.000	4.834	4.834	5.057		84.960	87	1.442	852608685067489266	852601230744486932	852601230744486931	1124	
1	C2H3N2OS	[M + Na]+	C2H3N2NaOS+		1.000	11.281	10.133	1.148	1	0.672	0.662	3.161	4.132		125.986	87	1.446	852608689882551200	852601230782235673	852601230782235672	1125	
2	C3H5Cl2N	[M + H]+	C3H6Cl2N+		0.000	1.958	-0.020	1.978	0	0.000	-6.905	6.905	-6.596		125.986	87	1.446	852608689882551201	852601230782235673	852601230782235672	1125	
3	C4ClN3	[M + H]+	C4HClN3+		0.000	1.093	-0.069	1.162	0	0.000	7.619	7.619	7.928		125.986	87	1.446	852608689882551202	852601230782235673	852601230782235672	1125	
4	C2H2FN3	[M + K]+	C2H2FKN3+		0.000	0.648	-0.659	1.307	0	0.000	-0.971	0.971	-0.662		125.986	87	1.446	852608689882551203	852601230782235673	852601230782235672	1125	
5	CH3NO4S	[M + H]+	CH4NO4S+		0.000	0.560	0.042	0.519	0	0.000	6.000	6.000	6.310		125.986	87	1.446	852608689882551204	852601230782235673	852601230782235672	1125	
6	C7H3	[M + K]+	C7H3K+		0.000	-0.172	-1.242	1.070	0	0.000	-2.557	2.557	-2.248		125.986	87	1.446	852608689882551205	852601230782235673	852601230782235672	1125	
7	CHClFN3O	[M + H]+	CH2ClFN3O+		0.000	-1.121	-1.295	0.173	0	0.000	-1.453	1.453	-1.143		125.986	87	1.446	852608689882551206	852601230782235673	852601230782235672	1125	
8	C3H6NP	[M + K]+	C3H6KNP+		0.000	-1.751	-3.891	2.139	0	0.000	-5.024	5.024	-4.714		125.986	87	1.446	852608689882551207	852601230782235673	852601230782235672	1125	
9	HN5S	[M + Na]+	HN5NaS+		0.000	-1.821	-1.821	0.000	0	0.000	14.480	14.480	14.789		125.986	87	1.446	852608689882551208	852601230782235673	852601230782235672	1125	
10	C6H2ClO	[M + H]+	C6H3ClO+		0.000	-2.619	-4.379	1.760	0	0.000	-3.039	3.039	-2.729		125.986	87	1.446	852608689882551209	852601230782235673	852601230782235672	1125	
1	C7H5F5N2O7S2	[M - H]-	C7H4F5N2O7S2-		0.499	43.213	43.213	0.000	11	0.989	1.822	2.058	-1.983		386.938	87	1.452	852608697407135001	852601184133180985	852601184128986680	5	
2	C6H3F5N2O5S2	[M + CH2O2 - H]-	C7H4F5N2O7S2-		0.499	43.213	43.213	0.000	9	0.981	0.832	1.949	-1.983		386.938	87	1.452	852608697407135002	852601184133180985	852601184128986680	5	
3	C5H10O16P2	[M - H]-	C5H9O16P2-		0.000	36.233	36.233	0.000	9	0.976	0.037	1.731	1.703		386.938	87	1.452	852608697407135003	852601184133180985	852601184128986680	5	
4	C4H8O14P2	[M + CH2O2 - H]-	C5H9O16P2-		0.000	36.233	36.233	0.000	6	0.698	-1.143	2.047	1.703		386.938	87	1.452	852608697407135004	852601184133180985	852601184128986680	5	
5	C9H12O9P4	[M - H]-	C9H11O9P4-		0.000	33.792	33.792	0.000	9	0.976	0.037	1.731	4.879		386.938	87	1.452	852608697407135005	852601184133180985	852601184128986680	5	
6	C8H10O7P4	[M + CH2O2 - H]-	C9H11O9P4-		0.000	33.792	33.792	0.000	6	0.698	-1.143	2.047	4.879		386.938	87	1.452	852608697407135006	852601184133180985	852601184128986680	5	
7	C6H14O11P2S2	[M - H]-	C6H13O11P2S2-		0.000	33.281	33.281	0.000	9	0.976	0.037	1.731	-0.543		386.938	87	1.452	852608697407135007	852601184133180985	852601184128986680	5	
8	C5H12O9P2S2	[M + CH2O2 - H]-	C6H13O11P2S2-		0.000	33.281	33.281	0.000	6	0.698	-1.143	2.047	-0.543		386.938	87	1.452	852608697407135008	852601184133180985	852601184128986680	5	
9	C9H10O11P2S	[M - H]-	C9H9O11P2S-		0.000	31.898	31.898	0.000	9	0.976	0.037	1.731	8.169		386.938	87	1.452	852608697407135009	852601184133180985	852601184128986680	5	
10	C8H8O9P2S	[M + CH2O2 - H]-	C9H9O11P2S-		0.000	31.898	31.898	0.000	6	0.698	-1.143	2.047	8.169		386.938	87	1.452	852608697407135010	852601184133180985	852601184128986680	5	
1	C4H6F2NO4P	[M + Na]+	C4H6F2NNaO4P+		0.627	59.938	59.938	0.000	11	0.662	-0.493	0.493	-0.408		223.989	88	1.463	852608706248729334	852601230715126799	852601230710932494	1123	
2	C3H2F3N3O4	[M + Na]+	C3H2F3N3NaO4+		0.373	59.420	59.420	0.000	10	0.566	2.755	3.452	1.871		223.989	88	1.463	852608706248729335	852601230715126799	852601230710932494	1123	
3	C4H9MgNO4S2	[M + H]+	C4H10MgNO4S2+		0.000	51.103	44.805	6.298	9	0.487	-2.817	2.817	-1.062		223.989	88	1.463	852608706248729336	852601230715126799	852601230710932494	1123	
4	C4H11MgNO5S2	[M - H2O + H]+	C4H10MgNO4S2+		0.000	51.103	44.805	6.298	9	0.487	-2.817	2.817	-80409.181		223.989	88	1.463	852608706248729337	852601230715126799	852601230710932494	1123	
5	C2H6MgO4S2	[M + C2H3N + H]+	C4H10MgNO4S2+		0.000	51.103	44.805	6.298	4	0.221	-4.265	4.265	-1.062		223.989	88	1.463	852608706248729338	852601230715126799	852601230710932494	1123	
6	C3H8FN3O3S	[M + K]+	C3H8FKN3O3S+		0.000	48.944	48.944	0.000	10	0.654	-4.377	4.377	-3.654		223.989	88	1.463	852608706248729339	852601230715126799	852601230710932494	1123	
7	C6H7N3O2S	[M + K]+	C6H7KN3O2S+		0.000	44.143	44.143	0.000	9	0.335	-4.455	4.455	1.448		223.989	88	1.463	852608706248729340	852601230715126799	852601230710932494	1123	
8	C4H6N3O4PS	[M + H]+	C4H7N3O4PS+		0.000	42.563	42.563	0.000	10	0.540	-2.837	2.837	1.965		223.989	88	1.463	852608706248729341	852601230715126799	852601230710932494	1123	
9	C4H8N3O5PS	[M - H2O + H]+	C4H7N3O4PS+		0.000	42.563	42.563	0.000	10	0.540	-2.837	2.837	-80406.153		223.989	88	1.463	852608706248729342	852601230715126799	852601230710932494	1123	
10	C4H10N3O6PS	[M - H4O2 + H]+	C4H7N3O4PS+		0.000	42.563	42.563	0.000	10	0.540	-2.837	2.837	-160814.272		223.989	88	1.463	852608706248729343	852601230715126799	852601230710932494	1123	
1	C3N2O6	[M + K]+	C3KN2O6+		0.996	22.974	22.974	0.000	4	0.093	3.350	3.350	7.722		198.940	88	1.467	852608707150504750	852601230819984414	852601230815790109	1126	
2	CH6NO3S3	[M + Na]+	CH6NNaO3S3+		0.004	17.356	17.356	0.000	2	0.671	-2.254	2.254	0.645		198.940	88	1.467	852608707150504751	852601230819984414	852601230815790109	1126	
3	C4H4N2OS2	[M + K]+	C4H4KN2OS2+		0.000	14.896	12.747	2.149	4	0.106	-0.366	1.399	3.354		198.940	88	1.467	852608707150504752	852601230819984414	852601230815790109	1126	
4	C6NO3S2	[M + H]+	C6HNO3S2+		0.000	9.879	9.879	0.000	3	0.083	0.187	0.567	5.498		198.940	88	1.467	852608707150504753	852601230819984414	852601230815790109	1126	
5	C6H2NO4S2	[M - H2O + H]+	C6HNO3S2+		0.000	9.879	9.879	0.000	3	0.083	0.187	0.567	-90526.999		198.940	88	1.467	852608707150504754	852601230819984414	852601230815790109	1126	
6	H2NO8S	[M + Na]+	H2NNaO8S+		0.000	9.686	9.686	0.000	2	0.671	-2.254	2.254	5.013		198.940	88	1.467	852608707150504755	852601230819984414	852601230815790109	1126	
7	C4HFN2OS2	[M + Na]+	C4HFN2NaOS2+		0.000	9.652	9.652	0.000	3	0.736	-0.567	0.567	-1.626		198.940	88	1.467	852608707150504756	852601230819984414	852601230815790109	1126	
8	H4N2O6S	[M + K]+	H4KN2O6S+		0.000	9.430	9.430	0.000	3	0.097	2.409	2.409	-9.224		198.940	88	1.467	852608707150504757	852601230819984414	852601230815790109	1126	
9	C3N2O5S	[M + Na]+	C3N2NaO5S+		0.000	9.311	9.311	0.000	2	0.670	-1.707	1.707	-8.459		198.940	88	1.467	852608707150504758	852601230819984414	852601230815790109	1126	
10	C2H3N2O3PS2	[M + H]+	C2H4N2O3PS2+		0.000	6.795	6.795	0.000	2	0.027	-1.971	1.971	3.936		198.940	88	1.467	852608707150504759	852601230819984414	852601230815790109	1126	
