Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Horticulture Zone,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Of Conservation Concern,Barcode,Kind of Specimen,Voucher collection date,Verification,Deposited
565-2016*E,565-2016,Adoxaceae,Viburnum,nudum,Winterthur,Viburnum nudum 'Winterthur',Accepted name,,,,"Cultivar of Possumhaw Viburnum, Cultivar of Smooth Witherod",Shrub,565-2016,6/1/2016,Plant,Viburnum nudum 'Winterthur',V. nudum 'Winterthur',,,From a cultivated plant not of known wild origin,,,,"Weston Nurseries, Inc., Hopkinton, MA, United States",,,,,,,,,,,,,,,,,,,,,,,3-NW,3,NW,42.30726827,-71.12073979,1.1,10/15/2019,Fair,,10/15/2019,,,,,1.1,M,C,,,,0,,,,,
565-2016*F,565-2016,Adoxaceae,Viburnum,nudum,Winterthur,Viburnum nudum 'Winterthur',Accepted name,,,,"Cultivar of Possumhaw Viburnum, Cultivar of Smooth Witherod",Shrub,565-2016,6/1/2016,Plant,Viburnum nudum 'Winterthur',V. nudum 'Winterthur',,,From a cultivated plant not of known wild origin,,,,"Weston Nurseries, Inc., Hopkinton, MA, United States",,,,,,,,,,,,,,,,,,,,,,,3-NW,3,NW,42.30725662,-71.12074811,1.1,10/15/2019,Fair,,10/15/2019,,,,,1,M,,,,,0,,,,,
577-87*B,19085,Adoxaceae,Viburnum,setigerum,Aurantiacum,Viburnum setigerum 'Aurantiacum',Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp.",,Viburnum setigerum forma xanthocarpum,Cultivar of Tea Viburnum,Shrub,577-87,6/24/1987,Cutting,Viburnum setigerum f. aurantiacum,V. setigerum 'Aurantiacum',,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Dr. Ernest Henry Wilson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Wilson, E. H.",236 IN PART,9/15/1907,China,Chang-lo-Hsien,,Chang-lo Hsien,,,,,,thickets,,,,,EG-14,EG-14,,42.29922924,-71.12178749,2.11,6/7/2017,Fair,,,,,,,,,,,,,0,00223391,HR,,,
1804-77*E,1804-77,Adoxaceae,Viburnum,dilatatum,,Viburnum dilatatum,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,Viburnum dilatatum var. macrophyllum,Linden Viburnum,Shrub,1804-77,10/18/1977,Seed,"Viburnum cf. wrightii, Viburnum wrightii, Viburnum dilatatum",V. dilatatum,,,Collected directly from the wild; origin known,XX,X,SA,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S.A.; Weaver, R.E.",500,10/13/1977,"Korea, Republic of","Jeollanam-do [Cholla-namdo], Mudeung-san",,behind the city of Kwangju,,,,,,,,,,,15-SW,15,SW,42.30191035,-71.12099904,1.2,8/6/2018,Good,,,,,,,,,,,,,0,,,,"Dirr, M. &amp; Schulhof, R., 01 Oct 1989, Viburnum dilatatum, -1; Spongberg, S., 04 Oct 1991, Viburnum dilatatum, 2",
584-2008*C,584-2008,Adoxaceae,Viburnum,acerifolium,,Viburnum acerifolium,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Viburnum acerifolium var. glabrescens, Viburnum acerifolium var. ovatum ovatum",Mapleleaf Viburnum,Shrub,584-2008,10/16/2008,Seed,Viburnum acerifolium,V. acerifolium,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,44,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",44,10/8/2008,United States,"New York, Essex Co., Near New Russia",,12. Kingdom Dam; Above Lincoln Pond.,44.164433,-73.55715,328,M,10? E,Edge of Mesic woodland. Growing in 0.5 shade.,Sandy,"Shrub; patch ca. 1.5 m x 3.0 m, 0.6-0.9 m in height. Leaves are wine-purple, very nice. Loaded with blue-black fruits.",,"Hamamelis virginiana, Tsuga canadensis",14-NW,14,NW,42.3026779,-71.12370215,2.9,10/5/2017,Good,,10/5/2017,,,,,1.1,M,C,,,,0,,,,,
584-2008*D,584-2008,Adoxaceae,Viburnum,acerifolium,,Viburnum acerifolium,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Viburnum acerifolium var. glabrescens, Viburnum acerifolium var. ovatum ovatum",Mapleleaf Viburnum,Shrub,584-2008,10/16/2008,Seed,Viburnum acerifolium,V. acerifolium,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,44,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",44,10/8/2008,United States,"New York, Essex Co., Near New Russia",,12. Kingdom Dam; Above Lincoln Pond.,44.164433,-73.55715,328,M,10? E,Edge of Mesic woodland. Growing in 0.5 shade.,Sandy,"Shrub; patch ca. 1.5 m x 3.0 m, 0.6-0.9 m in height. Leaves are wine-purple, very nice. Loaded with blue-black fruits.",,"Hamamelis virginiana, Tsuga canadensis",14-NW,14,NW,42.30268233,-71.12372445,2.9,10/5/2017,Good,,10/5/2017,,,,,1.5,M,C,,,,0,,,,,
593-2008*A,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc.",,,Withe-rod,Shrub,593-2008,10/16/2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10/9/2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",44.356966,-74.209583,518,M,5? E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30184831,-71.12501015,2.9,9/3/2024,Good,,9/3/2024,,,,,2.3,M,C,,,,0,,,,,
17981-2*A,17981,Adoxaceae,Viburnum,carlesii,,Viburnum carlesii var. carlesii,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,,Shrub,17981-2,6/24/1925,Cutting,Viburnum carlesii,V. carlesii var. carlesii,var.,carlesii,From a cultivated plant not of known wild origin,VO,X,VA,"Mr. Vicary Gibbs, Elstree, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,13-SE,13,SE,42.3022788,-71.12453548,2.9,4/26/2024,Good,,10/11/2017,,,,,3.9,M,C,,,,0,00193781,HR,,,
584-2008*B,584-2008,Adoxaceae,Viburnum,acerifolium,,Viburnum acerifolium,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Viburnum acerifolium var. glabrescens, Viburnum acerifolium var. ovatum ovatum",Mapleleaf Viburnum,Shrub,584-2008,10/16/2008,Seed,Viburnum acerifolium,V. acerifolium,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,44,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",44,10/8/2008,United States,"New York, Essex Co., Near New Russia",,12. Kingdom Dam; Above Lincoln Pond.,44.164433,-73.55715,328,M,10? E,Edge of Mesic woodland. Growing in 0.5 shade.,Sandy,"Shrub; patch ca. 1.5 m x 3.0 m, 0.6-0.9 m in height. Leaves are wine-purple, very nice. Loaded with blue-black fruits.",,"Hamamelis virginiana, Tsuga canadensis",14-NW,14,NW,42.3026857,-71.12369948,2.9,10/5/2017,Good,,10/5/2017,,,,,1,M,C,,,,0,,,,,
616-6*A,616,Adoxaceae,Viburnum,sieboldii,,Viburnum sieboldii,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,,Siebold Viburnum,Tree,616-6,7/1/1913,Graft,Viburnum sieboldii,V. sieboldii,,,From a cultivated plant not of known wild origin,VO,X,VA,"S. B. Parsons &amp; Son, Flushing, NY, United States",,,,,,,,,,,,,,,,,,,,,,,15-SW,15,SW,42.30190038,-71.12095646,1.2,8/6/2018,Fair,,,,,,,,,,,,,0,00193789,HR,,,
616-6*B,616,Adoxaceae,Viburnum,sieboldii,,Viburnum sieboldii,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,,Siebold Viburnum,Tree,616-6,7/1/1913,Graft,Viburnum sieboldii,V. sieboldii,,,From a cultivated plant not of known wild origin,VO,X,VA,"S. B. Parsons &amp; Son, Flushing, NY, United States",,,,,,,,,,,,,,,,,,,,,,,13-SE,13,SE,42.30205247,-71.12482758,2.9,10/12/2017,Fair,,10/12/2017,,,,,5.7,M,C,,,,0,"00174465, 00174464","HF, HR",,,
619-88*A,1808-77,Adoxaceae,Viburnum,erosum,,Viburnum erosum,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,,Beech Viburnum,Shrub,619-88,6/21/1988,Cutting,"Viburnum aff. erosum, V. koreanum",V. erosum,,,From a cultivated plant of known (indirect) wild origin,VO,,V,"Mr. George H. Pride, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,Spongberg & Weaver,483,,Country Unknown,,,,,,,,,,,,,,13-SE,13,SE,42.30214216,-71.12482931,2.9,10/12/2017,Good,,10/12/2017,,,,,2.4,M,C,,,,0,"00223048, 00186405","HR, HF",,"Dosmann, M., 07 May 2011, Viburnum lobophyllum, 2",
619-71*A,619-71,Adoxaceae,Viburnum,sieboldii,Seneca,Viburnum sieboldii 'Seneca',Accepted name,"Thomas, H.R. 1966. Notice Relative to the Naming and Release of 'Seneca', a New Selection of Viburnum. Beltsville, MD: United States Department of Agriculture.",,,Cultivar of Siebold Viburnum,Intermediate (shrub/tree),619-71,3/9/1971,Plant,Viburnum sieboldii 'Seneca',V. sieboldii 'Seneca',,,From a cultivated plant not of known wild origin,XX,X,U,"United States Department of Agricul, Washington, DC, United States via U. S. National Arboretum, Washington, DC, United States",NA 28871,,,,,,,,,,,,,,,,,,,,,,19-SW,19,SW,42.30102808,-71.12538687,2.7,11/18/2021,Fair,,6/14/2017,26.2,C,,,,,,,,,0,"00174635, 00174636","HR, HF",,,
593-2008*B,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc.",,,Withe-rod,Shrub,593-2008,10/16/2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10/9/2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",44.356966,-74.209583,518,M,5? E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30185115,-71.1249796,2.9,9/3/2024,Good,,9/3/2024,,,,,1.9,M,C,,,,0,,,,,
593-2008*C,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc.",,,Withe-rod,Shrub,593-2008,10/16/2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10/9/2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",44.356966,-74.209583,518,M,5? E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30182962,-71.12498215,2.9,9/3/2024,Good,,9/3/2024,,,,,1.9,M,C,,,,0,,,,,
627-2016*A,627-2016,Adoxaceae,Viburnum,nudum,Bulk,Viburnum nudum 'Bulk',Accepted name,"2006. Spring Meadow Nursery, Inc. Flowering Shrubs. Starter Plants Catalog &amp; Shrub Reference 2006-2007.",,,"Culitvar of Possumhaw Viburnum, Cultivar of Smooth Witherod",Shrub,627-2016,7/11/2016,Plant,Viburnum nudum 'Brandywine',V. nudum 'Bulk',,,From a cultivated plant not of known wild origin,,,,"Sylvan Nurseries, South Westport, MA, United States",,,,,,,,,,,,,,,,,,,,,,,3-NW,3,NW,42.30724503,-71.12076387,1.1,10/15/2019,Good,,10/15/2019,,,,,1.5,M,C,,,,0,,,,,
1804-77*A,1804-77,Adoxaceae,Viburnum,dilatatum,,Viburnum dilatatum,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,Viburnum dilatatum var. macrophyllum,Linden Viburnum,Shrub,1804-77,10/18/1977,Seed,"Viburnum cf. wrightii, Viburnum wrightii, Viburnum dilatatum",V. dilatatum,,,Collected directly from the wild; origin known,XX,X,SA,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S.A.; Weaver, R.E.",500,10/13/1977,"Korea, Republic of","Jeollanam-do [Cholla-namdo], Mudeung-san",,behind the city of Kwangju,,,,,,,,,,,15-SW,15,SW,42.30192918,-71.12102302,1.2,8/6/2018,Good,,,,,,,,,,,,,0,,HR,,"Dirr, M. &amp; Schulhof, R., 01 Oct 1989, Viburnum dilatatum, -1; Spongberg, S., 04 Oct 1991, Viburnum dilatatum, 2",
1804-77*B,1804-77,Adoxaceae,Viburnum,dilatatum,,Viburnum dilatatum,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,Viburnum dilatatum var. macrophyllum,Linden Viburnum,Shrub,1804-77,10/18/1977,Seed,"Viburnum cf. wrightii, Viburnum wrightii, Viburnum dilatatum",V. dilatatum,,,Collected directly from the wild; origin known,XX,X,SA,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S.A.; Weaver, R.E.",500,10/13/1977,"Korea, Republic of","Jeollanam-do [Cholla-namdo], Mudeung-san",,behind the city of Kwangju,,,,,,,,,,,15-SW,15,SW,42.30192828,-71.12101552,1.2,8/6/2018,Good,,,,,,,,,,,,,0,,,,"Dirr, M. &amp; Schulhof, R., 01 Oct 1989, Viburnum dilatatum, -1; Spongberg, S., 04 Oct 1991, Viburnum dilatatum, 2",
633-93*D,633-93,Adoxaceae,Viburnum,recognitum,,Viburnum recognitum,Accepted name,"no date. Virtual Viburnum. A Cyber-Enabled Global Monograph of Viburnum (Adoxaceae, Dipsacales). Yale University.",,Viburnum dentatum var. lucidum,Northern Arrowwood,Shrub,633-93,8/23/1993,Seed,Viburnum recognitum,V. recognitum,,,Collected directly from the wild; origin known,,,,"Dr. Stephen A. Spongberg, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Spongberg, S. A.",,8/19/1993,United States,"New York, Essex County",,Along Holt Road just north of the village of Keene Valley,,,1000,FT,,Wet soil in the roadside ditches,,,Medium-sized shrubs,,19-SW,19,SW,42.30105964,-71.12527035,2.7,10/5/2017,Good,,10/5/2017,,,,,3.4,M,C,,,,0,,,,,
633-93*A,633-93,Adoxaceae,Viburnum,recognitum,,Viburnum recognitum,Accepted name,"no date. Virtual Viburnum. A Cyber-Enabled Global Monograph of Viburnum (Adoxaceae, Dipsacales). Yale University.",,Viburnum dentatum var. lucidum,Northern Arrowwood,Shrub,633-93,8/23/1993,Seed,Viburnum recognitum,V. recognitum,,,Collected directly from the wild; origin known,,,,"Dr. Stephen A. Spongberg, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Spongberg, S. A.",,8/19/1993,United States,"New York, Essex County",,Along Holt Road just north of the village of Keene Valley,,,1000,FT,,Wet soil in the roadside ditches,,,Medium-sized shrubs,,19-SW,19,SW,42.3010856,-71.12522931,2.7,10/5/2017,Fair,,10/5/2017,,,,,2,M,C,,,,0,"00223031, 00184160","HF, HF",,,
638-94*A,638-94,Adoxaceae,Viburnum,utile,,Viburnum utile,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,Service Viburnum,Shrub,638-94,11/7/1994,Seed,Viburnum henryi,V. utile,,,Collected directly from the wild; origin known,XX,X,SA,1994 NACPEC Expedition to Hubei,,,,,,NACPEC '94,WD004,9/12/1994,China,Hubei Province,,Near Guan Shan,32.370555,110.886111,305,M,,"Growing above road on disturbed rocky, east-facing slope, in very shallow soil above solid rock outcropping. Growing with grasses, Cotinus coggygria, Quercus variabilis, Vitex negundo, Dalbergia hupeana. Hillside coppiced.",,"Shrub to 2 m. high. Small evergreen leaves, about 2.5 cm long and 1 cm wide. Underside of leaves covered with white hairs with scattered brown hairs, stems covered with brown hairs. Fruit red. Looks attractive.",,"Cotinus coggygria, Dalbergia hupeana, Quercus variabilis, Vitex negundo",LG-8E,LG-8E,,42.30373089,-71.12385438,1.13,8/12/2024,Good,,8/12/2024,,,,,2.1,M,C,,,,0,,,,,
6119*A,6119,Adoxaceae,Viburnum,bracteatum,,Viburnum bracteatum,Accepted name,"Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"Bracted Viburnum, Bracted Arrowwood, Limerock Arrowwood",Shrub,6119,8/15/1904,Plant,Viburnum bracteatum,V. bracteatum,,,Collected directly from the wild; origin known,XX,X,U,"Biltmore Nurseries, Biltmore, NC, United States",,,,,,,,,United States,"Georgia, Floyd County",,"Cliffs of Coosa River, near Rome",,,,,,,,,,,13-SW,13,SW,42.30228102,-71.12509476,2.9,8/22/2024,Good,,8/22/2024,,,,,3.7,M,C,,,,1,"00193899, 00227571","HV, HW, HR",,,
650-2010*A,650-2010,Adoxaceae,Viburnum,glomeratum,,Viburnum glomeratum,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,,Intermediate (shrub/tree),650-2010,10/25/2010,Seed,Viburnum glomeratum,V. glomeratum,,,Collected directly from the wild; origin known,,,,"2010 NACPEC Shaanxi, Hebei, and Bei",011,,,,,"Aiello, A. S., Dosmann, M., Wang, K.",NACPEC10-011,9/19/2010,China,"Shaanxi, Mei Xian, Ying Tou",,Hong He Gu Forest Park,34.030833,107.792499,2089,M,45 various,"north-running valley; mesic, mixed deciduous forest; roadside","thin, rocky, some organic","Habit: shrub; Height: 2m, Leaves: opposite; simple; ovate; dentate margins; densely pubescent; 13cm long x 9cm wide; Fruit: cymes; red berries","Seed was collected from several plants growing along the roadside, starting at the recorded altitude, latitude, and longitude, and continuing down from this point.","Acer pectinatum ssp. maximowiczii, Berberis sp., Corylus tibetica, Euptelea pleiosperma, Hydrangea bretschneideri, Sorbus discolor, Viburnum betulifolium",13-SE,13,SE,42.30228913,-71.12502619,2.9,10/12/2017,Good,,10/12/2017,,,,,2,M,C,,,,0,,,,,
650-2010*C,650-2010,Adoxaceae,Viburnum,glomeratum,,Viburnum glomeratum,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,,Intermediate (shrub/tree),650-2010,10/25/2010,Seed,Viburnum glomeratum,V. glomeratum,,,Collected directly from the wild; origin known,,,,"2010 NACPEC Shaanxi, Hebei, and Bei",011,,,,,"Aiello, A. S., Dosmann, M., Wang, K.",NACPEC10-011,9/19/2010,China,"Shaanxi, Mei Xian, Ying Tou",,Hong He Gu Forest Park,34.030833,107.792499,2089,M,45 various,"north-running valley; mesic, mixed deciduous forest; roadside","thin, rocky, some organic","Habit: shrub; Height: 2m, Leaves: opposite; simple; ovate; dentate margins; densely pubescent; 13cm long x 9cm wide; Fruit: cymes; red berries","Seed was collected from several plants growing along the roadside, starting at the recorded altitude, latitude, and longitude, and continuing down from this point.","Acer pectinatum ssp. maximowiczii, Berberis sp., Corylus tibetica, Euptelea pleiosperma, Hydrangea bretschneideri, Sorbus discolor, Viburnum betulifolium",13-SW,13,SW,42.30230266,-71.1250747,2.9,8/22/2024,Good,,8/22/2024,,,,,3.8,M,C,,,,0,,,,,
1834-77*D,1834-77,Adoxaceae,Viburnum,dilatatum,,Viburnum dilatatum,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,Viburnum dilatatum var. macrophyllum,Linden Viburnum,Shrub,1834-77,10/19/1977,Seed,Viburnum sp.,V. dilatatum,,,Collected directly from the wild; origin known,XX,X,SA,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S.A.; Weaver, R.E.",144,9/12/1977,Japan,"Hokkaido Prefecture, Ayukawa-cho, Hakodate City",,,,,,,,coastal scrub,,,,,13-SE,13,SE,42.30217669,-71.12498495,2.9,10/12/2017,Good,,10/12/2017,,,,,1.7,M,C,,,,0,,,,,
1834-77*F,1834-77,Adoxaceae,Viburnum,dilatatum,,Viburnum dilatatum,Accepted name,"Iwatsuki, K., T. Yamazaki, D.E. Boufford &amp; H. Ohba 1995. Flora of Japan, Vol. IIIa. Angiospermae, Dicotyledoneae, Sympetalae(a). Kodansha Ltd. 482 pp.",,Viburnum dilatatum var. macrophyllum,Linden Viburnum,Shrub,1834-77,10/19/1977,Seed,Viburnum sp.,V. dilatatum,,,Collected directly from the wild; origin known,XX,X,SA,"1977 Expedition to Korea and Japan, Korea, Republic of",,,,,,"Spongberg, S.A.; Weaver, R.E.",144,9/12/1977,Japan,"Hokkaido Prefecture, Ayukawa-cho, Hakodate City",,,,,,,,coastal scrub,,,,,13-SE,13,SE,42.30217729,-71.12495498,2.9,10/12/2017,Good,,10/12/2017,,,,,2.5,M,C,,,,0,,,,,
708-37*A,708-37,Adoxaceae,Viburnum,corylifolium,,Viburnum cf. corylifolium,Accepted name,"eFloras no date. Flora of China. Acanthaceae through Valerianaceae. http://www.efloras.org/volume_page.aspx?volume_id=2019&amp;flora_id=2. Missouri Botanical Garden, St. Louis, MO &amp; Harvard University Herbaria, Cambridge, MA.",,,,Shrub,708-37,7/9/1937,Seed,"Viburnum hirsutulum, Viburnum hirtulum",V. cf. corylifolium,,,Uncertain origin,S,X,S,"Lu Shan Arboretum, Kiukiang, China",,,,,,,,,,,,,,,,,,,,,,,13-SE,13,SE,42.30205945,-71.12464573,2.9,10/12/2017,Good,,10/12/2017,,,,,2.7,M,C,,,,0,"00174012, 00174013","HF, HR, S, HR, HR",,"I.M.J., 01 Jul 1951, Viburnum hirtulum, Un; Michael J. Donoghue and Schmerler, S., 19 Oct 2011, Viburnum corylifolium, 2",
68-2017*D,68-2017,Adoxaceae,Viburnum,obovatum,,Viburnum obovatum,Accepted name,"Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,Viburnum nashii,"Small-Leaved Arrowwood, Walter's Viburnum",Shrub,68-2017,3/1/2017,Plant,Viburnum obovatum,V. obovatum,,,Collected directly from the wild; origin known,SM,X,SA,"U. S. National Arboretum, Washington, DC, United States",NA 83681,,,,,"Miller, Ron",RON MILLER 08302014,8/30/2014,United States,"Florida, Washington County",,Along Holmes Creek not far from the boat ramp on Hightowers Road.,30.605555,-85.764722,5,M,S,Boggy edge of creek in mixed deciduous and evergreen bottomland woodlands that are periodically inundated for extended periods.,,Single and multi-stemmed deciduous shrubs/trees to 8 meters tall and wide.,This is a fascinating creek that is fed by many springs that result in amazing aquamarine water and unusually cool water conditions. It is a very special place to visit.,"Cornus foemina, Cyrilla racemiflora, Magnolia virginiana, Nyssa biflora, Nyssa ogeche, Parthenocissus quinquefolia, Quercus lyrata, Quercus michauxii, Rhododendron canescens, Taxodium distichum, Vitis rotundifolia, Wisteria frutescens",EG-13,EG-13,,42.29884096,-71.12181327,2.11,3/27/2021,Alive,,7/22/2020,,,,,0.82,M,,,,,0,,,,,
