"gridNum","id","Binomial","Family"
"12","355-92*B","Berberis asiatica","Berberidaceae"
"12","173-83*A","Berberis dielsiana","Berberidaceae"
"12","906-87*A","Berberis gilgiana","Berberidaceae"
"12","791-82*A","Berberis koreana","Berberidaceae"
"12","359-92*C","Berberis polyantha","Berberidaceae"
"12","1449-77*A","Berberis quelpaertensis","Berberidaceae"
"12","950-83*A","Berberis virescens","Berberidaceae"
"13","164-2019*F","Viburnum dentatum","Adoxaceae"
"13","392-92*B","Lonicera bella","Caprifoliaceae"
"13","338-92*B","Lonicera deflexicalyx","Caprifoliaceae"
"13","695-88*B","Lonicera ferdinandi","Caprifoliaceae"
"13","815-84*A","Lonicera koehneana","Caprifoliaceae"
"13","694-88*B","Lonicera ruprechtiana","Caprifoliaceae"
"13","47-67*A","Morus alba","Moraceae"
"14","1804-77*C","Viburnum dilatatum","Adoxaceae"
"14","17988*B","Viburnum furcatum","Adoxaceae"
"14","438-2011*B","Viburnum lantanoides","Adoxaceae"
"14","11822*A","Lonicera muscaviensis","Caprifoliaceae"
"14","679-87*A","Morus australis","Moraceae"
"14","796-85*A","Morus rubra","Moraceae"
"14","30-96*A","Leitneria floridana","Simaroubaceae"
"15","683-75*A","Picrasma quassioides","Simaroubaceae"
"16","627-2016*A","Viburnum nudum","Adoxaceae"
"16","975-83*B","Berberis ottawensis","Berberidaceae"
"16","341-81*MASS","Berberis virgetorum","Berberidaceae"
"16","538-78*A","Berberis vulgaris","Berberidaceae"
"16","18-92*B","Lonicera pileata","Caprifoliaceae"
