Family,Genus,Species,AA,US,World,Notes
Caprifoliaceae,Lonicera,ligustrina,3,No,Asia,
Caprifoliaceae,Lonicera,maximowiczii,3,No,Asia,
Caprifoliaceae,Lonicera,nervosa,3,No,Asia,
Caprifoliaceae,Lonicera,periclymenum,3,Invasive,Europe,
Celastraceae,Euonymus,carnosus,3,No,Asia,
Celastraceae,Euonymus,maackii,3,No,Asia,
Elaeagnaceae,Elaeagnus,lanceolata,3,No,Asia,
Elaeagnaceae,Elaeagnus,multiflora,3,No,Asia,
Adoxaceae,Viburnum,lobophyllum,4,No,Asia,
Adoxaceae,Viburnum,molle,4,Midwest,NA,
Adoxaceae,Viburnum,sieboldii,4,Invasive,Asia,
Berberidaceae,Nandina,domestica,4,Invasive,Asia,
Caprifoliaceae,Lonicera,gynochlamydea,4,No,Asia,
Caprifoliaceae,Lonicera,ruprechtiana,4,No,Asia,
Celastraceae,Celastrus,scandens,4,East,NA,
Celastraceae,Euonymus,atropurpureus,4,East,NA,
Celastraceae,Euonymus,fortunei,4,Invasive,Asia,
Adoxaceae,Viburnum,acerifolium,5,East,NA,
Adoxaceae,Viburnum,betulifolium,5,No,Asia,
Adoxaceae,Viburnum,furcatum,5,No,Asia,
Adoxaceae,Viburnum,lantana,5,No,Europe,
Adoxaceae,Viburnum,lantanoides,5,East,NA,
Adoxaceae,Viburnum,lentago,5,East,NA,
Adoxaceae,Viburnum,veitchii,5,No,Asia,
Berberidaceae,Berberis,brachypoda,5,No,Asia,
Berberidaceae,Berberis,koreana,5,No,Asia,
Berberidaceae,Berberis,quelpaertensis,5,No,Asia,
Berberidaceae,Berberis,virescens,5,No,Asia,
Caprifoliaceae,Lonicera,canadensis,5,East,NA,
Caprifoliaceae,Lonicera,henryi,5,No,Asia,
Caprifoliaceae,Lonicera,xylosteum,5,Invasive,Europe,
Celastraceae,Celastrus,angulatus,5,No,Asia,
Celastraceae,Euonymus,alatus,5,Invasive,Asia,
Rhamnaceae,Ceanothus,americanus,5,East,NA,
Adoxaceae,Viburnum,ichangense,6,No,Asia,
Berberidaceae,Berberis,thunbergii,6,No,Asia,
Caprifoliaceae,Lonicera,bella,6,Invasive,Eurasia,
Adoxaceae,Viburnum,recognitum,7,East,NA,syn. Dentatum?
Celastraceae,Euonymus,americanus,7,East,NA,
Celastraceae,Euonymus,bungeanus,7,No,Asia,
Adoxaceae,Viburnum,carlesii,8,No,Asia,
Caprifoliaceae,Lonicera,morrowii,8,Invasive,Asia,
Caprifoliaceae,Lonicera,standishii,8,Invasive,Europe,
Celastraceae,Euonymus,europaeus,8,Invasive,Europe,
Moraceae,Morus,alba,8,Invasive,Asia,
Simaroubaceae,Leitneria,floridana,8,Southeast,NA,
Adoxaceae,Viburnum,cassinoides,9,Northeast,No,syn. Nudum?
Adoxaceae,Viburnum,rafinesquianum,9,East,NA,
Adoxaceae,Viburnum,erosum,10,No,Asia,
Adoxaceae,Viburnum,nudum,10,East,NA,
Adoxaceae,Viburnum,prunifolim,10,East,NA,
Adoxaceae,Viburnum,setigerum,10,No,Asia,
Berberidaceae,Berberis,amurensis,10,No,Asia,
Caprifoliaceae,Lonicera,ferdinandi,10,No,Asia,
Caprifoliaceae,Lonicera,tatarica,10,Invasive,Eurasia,
Simaroubaceae,Picrasma,quassioides,10,No,Asia,
Adoxaceae,Viburnum,plicatum,11,Invasive,Asia,
Adoxaceae,Viburnum,utile,11,No,Asia,
Caprifoliaceae,Lonicera,chrysantha,11,No,Asia,
Caprifoliaceae,Lonicera,maackii,11,Invasive,Eurasia,
Adoxaceae,Viburnum,hupehense,12,No,Asia,
Adoxaceae,Viburnum,sargentii,12,No,Asia,
Celastraceae,Euonymus,hamiltonianus,12,No,Asia,
Elaeagnaceae,Elaeagnus,umbellata,12,Invasive,Asia,
Adoxaceae,Viburnum,bracteatum,14,Southeast,NA,
Berberidaceae,Berberis,julianae,14,Invasive,Asia,
Adoxaceae,Viburnum,rufidulum,15,Southeast,NA,
Adoxaceae,Viburnum,opulus,19,East,Holarctic,Unclear taxonomy with trilobum
Adoxaceae,Viburnum,rhytidophyllum,20,No,Asia,quasi-invasive
Adoxaceae,Viburnum,dilatatum,27,Invasive,Asia,
Adoxaceae,Viburnum,dentatum,32,East,No,
