"Plant.ID","Family","Genus","Species","Cultivar","Sub","Garden.Location","lat","lon","Condition","AA","US","World","Notes"
"650-2010*C","Adoxaceae","Viburnum","glomeratum","","","13-SW",42.30230266,-71.1250747,"Good",2,"No","Asia",""
"1834-77*D","Adoxaceae","Viburnum","dilatatum","","","13-SE",42.30217669,-71.12498495,"Good",27,"Invasive","Asia",""
"1834-77*F","Adoxaceae","Viburnum","dilatatum","","","13-SE",42.30217729,-71.12495498,"Good",27,"Invasive","Asia",""
"708-37*A","Adoxaceae","Viburnum","corylifolium","","","13-SE",42.30205945,-71.12464573,"Good",3,"No","Asia",""
"68-2017*D","Adoxaceae","Viburnum","obovatum","","","EG-13",42.29884096,-71.12181327,"Alive",2,"Southeast",NA,""
"18294*A","Adoxaceae","Viburnum","molle","","","13-SW",42.30226762,-71.12504584,"Good",4,"Midwest",NA,""
"719-88*A","Adoxaceae","Viburnum","opulus","","calvescens","14-NW",42.30275449,-71.12354808,"Alive",19,"East","Holarctic","Unclear taxonomy with trilobum"
"719-88*B","Adoxaceae","Viburnum","opulus","","calvescens","14-NW",42.30278965,-71.123543,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"7253*A","Adoxaceae","Viburnum","rhytidophyllum","","","18-NE",42.30137662,-71.12639336,"Good",20,"No","Asia","quasi-invasive"
"1834-77*G","Adoxaceae","Viburnum","dilatatum","","","13-SE",42.30216578,-71.12493694,"Good",27,"Invasive","Asia",""
"7533*B","Adoxaceae","Viburnum","buddleifolium","","","EG-15",42.29943086,-71.12183213,"Good",1,"No","Asia",""
"759-2016*B","Adoxaceae","Viburnum","orientale","","","19-NW",42.30187095,-71.12507968,"Good",2,"No","Asia",""
"164-2019*A","Adoxaceae","Viburnum","dentatum","","","BBM3-SE",42.29877838,-71.11760164,"Good",32,"East","No",""
"77-90*A","Adoxaceae","Viburnum","dilatatum","","pilosulum","DGB-16",42.30270517,-71.12440121,"Good",27,"Invasive","Asia",""
"164-2019*D","Adoxaceae","Viburnum","dentatum","","","BBM3-SE",42.29875485,-71.1175709,"Good",32,"East","No",""
"17974*A","Adoxaceae","Viburnum","rafinesquianum","","","15-SW",42.30215717,-71.12151206,"Good",9,"East",NA,""
"79-90*A","Adoxaceae","Viburnum","sargentii","","","EG-14",42.2993115,-71.12173836,"Good",12,"No","Asia",""
"77-90*B","Adoxaceae","Viburnum","dilatatum","","pilosulum","DGB-16",42.30270852,-71.12438196,"Fair",27,"Invasive","Asia",""
"18008*MASS","Adoxaceae","Viburnum","dentatum","","venosum","13-SE",42.30229608,-71.12440159,"Fair",32,"East","No",""
"18016-1*A","Adoxaceae","Viburnum","plicatum","","","13-SE",42.30194833,-71.1248291,"Good",11,"Invasive","Asia",""
"1804-77*F","Adoxaceae","Viburnum","dilatatum","","","15-SW",42.30190767,-71.12098642,"Good",27,"Invasive","Asia",""
"798-65*A","Adoxaceae","Viburnum","erubescens","","gracilipes","19-NW",42.30181865,-71.12528494,"Fair",1,"No","Asia",""
"80-81*B","Adoxaceae","Viburnum","hupehense","","","19-NW",42.30177524,-71.1253319,"Good",12,"No","Asia",""
"1872-77*B","Adoxaceae","Viburnum","dilatatum","","","15-SW",42.30194591,-71.12104213,"Good",27,"Invasive","Asia",""
"821-85*A","Adoxaceae","Viburnum","dilatatum","","","13-NE",42.30255817,-71.12486174,"Good",27,"Invasive","Asia",""
"821-85*B","Adoxaceae","Viburnum","dilatatum","","","13-NE",42.30256923,-71.12482086,"Good",27,"Invasive","Asia",""
"821-85*C","Adoxaceae","Viburnum","dilatatum","","","13-NE",42.30255523,-71.12482237,"Good",27,"Invasive","Asia",""
"87-2015*A","Adoxaceae","Viburnum","opulus","","calvescens","13-NE",42.30271555,-71.12395337,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"87-2015*B","Adoxaceae","Viburnum","opulus","","calvescens","14-NW",42.30270781,-71.12392925,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"87-2015*C","Adoxaceae","Viburnum","opulus","","calvescens","14-NW",42.30268876,-71.12391247,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"874-85*MASS","Adoxaceae","Viburnum","cassinoides","","","62-NE",42.29150704,-71.12686036,"Excellent",9,"Northeast","No","syn. Nudum?"
"1872-77*A","Adoxaceae","Viburnum","dilatatum","","","15-SW",42.30195049,-71.12105077,"Good",27,"Invasive","Asia",""
"1875-80*A","Adoxaceae","Viburnum","lobophyllum","","","13-SE",42.30218354,-71.12465131,"Good",4,"No","Asia",""
"892-61*A","Adoxaceae","Viburnum","carlesii","","carlesii","19-SE",42.3012339,-71.12465729,"Good",8,"No","Asia",""
"911-79*MASS","Adoxaceae","Viburnum","scabrellum","","","14-NW",42.30253864,-71.12368312,"Good",1,"Southeast",NA,""
"912-79*B","Adoxaceae","Viburnum","plicatum","Roseum","","13-SE",42.30232889,-71.12442572,"Fair",11,"Invasive","Asia",""
"912-79*C","Adoxaceae","Viburnum","plicatum","Roseum","","13-SE",42.30232519,-71.12442574,"Fair",11,"Invasive","Asia",""
"1825-77*MASS","Adoxaceae","Viburnum","wrightii","","","62-NW",42.2919524,-71.1282148,"Good",3,"No","Asia",""
"933-4*A","Adoxaceae","Viburnum","plicatum","","","13-NE",42.30259019,-71.12462679,"Good",11,"Invasive","Asia",""
"19-60*A","Adoxaceae","Viburnum","recognitum","","","19-SE",42.30087873,-71.12478156,"Good",7,"East",NA,"syn. Dentatum?"
"912-79*A","Adoxaceae","Viburnum","plicatum","Roseum","","13-SE",42.30232639,-71.12441576,"Fair",11,"Invasive","Asia",""
"963-85*A","Adoxaceae","Viburnum","erosum","","","19-NW",42.30178131,-71.1252837,"Fair",10,"No","Asia",""
"1046-81*B","Adoxaceae","Viburnum","dentatum","","pubescens","39-NE",42.29743286,-71.12935901,"Good",32,"East","No",""
"1068-87*B","Adoxaceae","Viburnum","bracteatum","","","19-SW",42.30117088,-71.125082,"Fair",14,"Southeast",NA,""
"109-79*A","Adoxaceae","Viburnum","cassinoides","","","59-NE",42.29294088,-71.12487004,"Good",9,"Northeast","No","syn. Nudum?"
"164-2019*B","Adoxaceae","Viburnum","dentatum","","","BBM3-SE",42.29876319,-71.1175967,"Good",32,"East","No",""
"164-2019*C","Adoxaceae","Viburnum","dentatum","","","BBM3-SE",42.29874545,-71.11758967,"Good",32,"East","No",""
"1104-81*A","Adoxaceae","Viburnum","cassinoides","","","50-NE",42.295173,-71.12621128,"Good",9,"Northeast","No","syn. Nudum?"
"1120-86*A","Adoxaceae","Viburnum","dilatatum","","hispidum","39-SE",42.29697363,-71.12892525,"Fair",27,"Invasive","Asia",""
"1120-86*B","Adoxaceae","Viburnum","dilatatum","","hispidum","39-SE",42.29696239,-71.12891478,"Fair",27,"Invasive","Asia",""
"1120-86*C","Adoxaceae","Viburnum","dilatatum","","hispidum","39-SE",42.29697234,-71.12891025,"Fair",27,"Invasive","Asia",""
"192-2017*A","Adoxaceae","Viburnum","opulus","","trilobum","19-NW",42.30175044,-71.12515209,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"1386-82*B","Adoxaceae","Viburnum","rhytidophyllum","","","13-SE",42.30243056,-71.12427953,"Good",20,"No","Asia","quasi-invasive"
"1387-82*C","Adoxaceae","Viburnum","rhytidophyllum","","","13-SW",42.30214395,-71.12525254,"Good",20,"No","Asia","quasi-invasive"
"141-2019*A","Adoxaceae","Viburnum","nudum","Winterthur","","3-NW",42.30735281,-71.12062449,"Alive",10,"East",NA,""
"1922-80*A","Adoxaceae","Viburnum","sargentii","","","13-NE",42.30247194,-71.12454986,"Good",12,"No","Asia",""
"1922-80*B","Adoxaceae","Viburnum","sargentii","","","13-NE",42.30249928,-71.12452013,"Good",12,"No","Asia",""
"1922-80*C","Adoxaceae","Viburnum","sargentii","","","13-NE",42.3025021,-71.12454229,"Fair",12,"No","Asia",""
"163-2024*A","Adoxaceae","Viburnum","plicatum","Popcorn","","LG-6B",42.30408772,-71.12363723,"Good",11,"Invasive","Asia",""
"164-2019*F","Adoxaceae","Viburnum","dentatum","","","BBM3-SE",42.29874768,-71.11753289,"Good",32,"East","No",""
"167-2000*A","Adoxaceae","Viburnum","molle","","leiophyllum","13-SE",42.30201183,-71.12482613,"Good",4,"Midwest",NA,""
"1736-80*A","Adoxaceae","Viburnum","betulifolium","","","62-NW",42.29155682,-71.12769166,"Good",5,"No","Asia",""
"1748-80*B","Adoxaceae","Viburnum","hupehense","","","51-NW",42.29504629,-71.12559761,"Good",12,"No","Asia",""
"1797-77*A","Adoxaceae","Viburnum","carlesii","","carlesii","13-SE",42.3023579,-71.12467144,"Fair",8,"No","Asia",""
"1804-77*C","Adoxaceae","Viburnum","dilatatum","","","15-SW",42.30192301,-71.12101871,"Good",27,"Invasive","Asia",""
"1804-77*D","Adoxaceae","Viburnum","dilatatum","","","15-SW",42.30191682,-71.1210069,"Good",27,"Invasive","Asia",""
"18295*A","Adoxaceae","Viburnum","rafinesquianum","","affine","25-NE",42.3007651,-71.12460325,"Good",9,"East",NA,""
"1834-77*A","Adoxaceae","Viburnum","dilatatum","","","13-SE",42.3021808,-71.12493123,"Good",27,"Invasive","Asia",""
"1834-77*E","Adoxaceae","Viburnum","dilatatum","","","13-SE",42.3021715,-71.12492429,"Good",27,"Invasive","Asia",""
"1834-77*H","Adoxaceae","Viburnum","dilatatum","","","13-SE",42.302161,-71.12496257,"Good",27,"Invasive","Asia",""
"1897-80*B","Adoxaceae","Viburnum","sargentii","","","13-SE",42.30239809,-71.12462423,"Good",12,"No","Asia",""
"1897-80*C","Adoxaceae","Viburnum","sargentii","","","13-SE",42.30239801,-71.12459835,"Good",12,"No","Asia",""
"192-2017*B","Adoxaceae","Viburnum","opulus","","trilobum","19-NW",42.30177247,-71.1251267,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
"192-2017*C","Adoxaceae","Viburnum","opulus","","trilobum","19-NW",42.30177721,-71.1251629,"Good",19,"East","Holarctic","Unclear taxonomy with trilobum"
